gsm,globin_frac,ribosomal_frac,mitochondrial_frac,cluster
GSM7461691,0.7541285351304663,0.021543675128991746,0.0480384716784269,1
GSM7461692,0.7753034847665301,0.01437916169066983,0.02169098537091688,1
GSM7461693,0.5949067218686787,0.018834891448959678,0.0634377327886117,1
GSM7461694,0.8333678070057197,0.010885036303860987,0.019334145783878015,1
GSM7461695,0.6285378509318965,0.0192400194222555,0.05224974815675397,1
GSM7461696,0.6476510476105739,0.02921096394074975,0.0512209201148706,1
GSM7461697,0.8345499741589613,0.009158824451728966,0.01816611209216843,1
GSM7461698,0.8664321410452354,0.008842330646279819,0.013936343613014978,1
GSM7461699,0.8125824419853162,0.006414515995095475,0.013865624951063773,1
GSM7461700,0.7917755630668762,0.013959158754140487,0.02453597018871736,1
GSM7461702,0.7481072508742423,0.017155212169679832,0.028591931125660632,1
GSM7461703,0.6783036533040304,0.028700474728258298,0.051694846496631,1
GSM7461705,0.7557156118167228,0.009506849996896504,0.04204586283418333,1
GSM7461706,0.7067055126451263,0.017916259998380268,0.051985556358008514,1
GSM7461707,0.7674843917509042,0.013957108204988272,0.020087890230420714,1
GSM7461708,0.7340711582144189,0.015691523380541535,0.033285467683332105,1
GSM7461709,0.8333417406505365,0.00882180875463408,0.029187655747471498,1
GSM7461710,0.7633871394693033,0.018272842590033176,0.024220389697647785,1
GSM7461711,0.45984086330296103,0.03838333812202538,0.037902658834663545,1
GSM7461712,0.43117764720210094,0.048438859430763405,0.0172917621900628,1
GSM7461713,0.7063553692608836,0.029142506169374884,0.029769770112592738,1
GSM7461714,0.7251517418646315,0.02645323079521387,0.016020822996598173,1
GSM7461715,0.8063761450908069,0.0162416378008002,0.016476114476661485,1
GSM7461717,0.6307481260820776,0.02210468141591656,0.028797857997356766,1
GSM7461718,0.6826623280131968,0.036125937276820265,0.015459162542676666,1
GSM7461720,0.8011667863725701,0.015939530214577034,0.013270109469620034,1
GSM7461721,0.751808194406877,0.02496603179695919,0.026729841816399307,1
GSM7461722,0.8161826910957842,0.023003204955124854,0.01549537030492169,1
GSM7461723,0.9349910296729899,0.006373508573323782,0.004774770240693872,1
GSM7461724,0.5729661540216019,0.04602257355898003,0.033753466462284124,1
GSM7461726,0.4397443367349367,0.062247185632846404,0.020935360272773318,1
GSM7461727,0.7703114829607651,0.021378102702405356,0.014523541010288276,1
GSM7461728,0.838490662857185,0.009200400826931073,0.010346924131435425,0
GSM7461729,0.8775827769641753,0.006971650415275848,0.011529055905656655,1
GSM7461730,0.8545595004384382,0.008092324760333615,0.012460715855522986,1
GSM7461731,0.8322995472793459,0.009259248331156177,0.013379199888236527,1
GSM7461732,0.8557070011733259,0.010330479406821613,0.009176028985020415,1
GSM7461733,0.3545788578614595,0.04097355199049631,0.043603795068905556,1
GSM7461734,0.7167161452539662,0.0313688449120654,0.017281812640996253,1
GSM7461735,0.724069658075853,0.02275220331093973,0.02526608335438316,1
GSM7461736,0.825273945914933,0.013260859717017456,0.016411906604651392,1
GSM7461737,0.8155969203548343,0.013873463367537954,0.012280875225666305,1
GSM7461738,0.8120401529497348,0.010719827795748484,0.015230408589125737,1
GSM7461739,0.5444313464204287,0.03316258552387224,0.05211850076356394,1
GSM7461740,0.8286499012764144,0.015801888786562412,0.014947727282362412,1
GSM7461741,0.7904758371817753,0.020956591325136,0.020470833990617776,1
GSM7461743,0.502256495729214,0.02833632689861761,0.033598998658516115,1
GSM7461744,0.8226016472794407,0.013796914459109851,0.013669512585114594,1
GSM7461745,0.8154881799808339,0.017339170813898394,0.012039273883711534,1
GSM7461746,0.7431101276322827,0.02303985179337338,0.027588265498615327,1
GSM7461747,0.7736349734950625,0.03582095233447598,0.018497632342896447,1
GSM7461748,0.6639843875189163,0.024684688896598042,0.029390520482405147,1
GSM7461749,0.8405076725168621,0.014272614015993026,0.015244129824499592,1
GSM7461750,0.8506931700377355,0.010957207363686874,0.015997691121269406,1
GSM7461751,0.857510985925834,0.00954303572068629,0.027504777640099107,1
GSM7461752,0.7060810312389333,0.018210114340613974,0.05626872652324098,1
GSM7461753,0.8821835009168763,0.00951896696181712,0.009135639579982821,1
GSM7461754,0.6178991916734072,0.030368041379188793,0.05835746980285295,1
GSM7461755,0.6535130075693041,0.02168651750971823,0.03656517869126976,1
GSM7461756,0.8519791431960279,0.011836859559307493,0.013290482723509387,1
GSM7461759,0.8522194177079718,0.011518410817462977,0.011352398343167376,1
GSM7461760,0.9433772630582687,0.007794808791233732,0.0072416748534546455,1
GSM7461761,0.6706556360640735,0.016936577359973407,0.021742530962639065,1
GSM7461762,0.5755033838961611,0.035383118504231634,0.015413204620133287,1
GSM7461764,0.8563851427488857,0.014287985260143351,0.008219554857933083,1
GSM7461765,0.550709360821709,0.0338985313145584,0.014881691887342011,1
GSM7461766,0.5268505025928842,0.041310733633959686,0.03313254228938019,1
GSM7461767,0.7801362943416579,0.015364581507428594,0.018340435574207715,1
GSM7461768,0.607039881035363,0.018681829621142232,0.016139414453625933,1
GSM7461769,0.8075344723904299,0.014235413287131493,0.020624418716787458,1
GSM7461770,0.8662756683500322,0.00842541538632073,0.010537258472160143,1
GSM7461771,0.9058751501197682,0.008227105686770436,0.0069681505246695415,1
GSM7461772,0.7209611288201621,0.027369462370494056,0.019087784076316176,1
GSM7461774,0.8472350935127593,0.017570326738194406,0.014595418199986176,1
GSM7461775,0.9204271548471754,0.005517624962082266,0.008115062102804126,1
GSM7461776,0.7575384431107782,0.02209364844960191,0.016442238141309937,1
GSM7461777,0.6619111176318754,0.046509462970272926,0.032461081813367834,1
GSM7461778,0.7984665468371513,0.020201610771800667,0.0071826641851473775,1
GSM7461779,0.7578764619423722,0.016020614865649672,0.033375537277849164,1
GSM7461780,0.8124546813262363,0.012636407547759068,0.010143334066186114,1
GSM7461781,0.9080703378355275,0.0068342114747657265,0.006896215098505658,1
GSM7461782,0.823632974529152,0.015679958144479037,0.013003659523241852,1
GSM7461783,0.8688110123940044,0.013475436552327516,0.010057322318813034,1
GSM7461784,0.7620124724157711,0.0165929670607329,0.02272514603835738,1
GSM7461785,0.6293612264448913,0.022601070096049353,0.019309154118946577,1
GSM7461786,0.7994531154274375,0.014483620284432926,0.018882795906894914,1
