GeneID,GSM7461691,GSM7461692,GSM7461693,GSM7461694,GSM7461695,GSM7461696,GSM7461697,GSM7461698,GSM7461699,GSM7461700,GSM7461702,GSM7461703,GSM7461705,GSM7461706,GSM7461707,GSM7461708,GSM7461709,GSM7461710,GSM7461711,GSM7461712,GSM7461713,GSM7461714,GSM7461715,GSM7461717,GSM7461718,GSM7461720,GSM7461721,GSM7461722,GSM7461723,GSM7461724,GSM7461726,GSM7461727,GSM7461728,GSM7461729,GSM7461730,GSM7461731,GSM7461732,GSM7461733,GSM7461734,GSM7461735,GSM7461736,GSM7461737,GSM7461738,GSM7461739,GSM7461740,GSM7461741,GSM7461743,GSM7461744,GSM7461745,GSM7461746,GSM7461747,GSM7461748,GSM7461749,GSM7461750,GSM7461751,GSM7461752,GSM7461753,GSM7461754,GSM7461755,GSM7461756,GSM7461759,GSM7461760,GSM7461761,GSM7461762,GSM7461764,GSM7461765,GSM7461766,GSM7461767,GSM7461768,GSM7461769,GSM7461770,GSM7461771,GSM7461772,GSM7461774,GSM7461775,GSM7461776,GSM7461777,GSM7461778,GSM7461779,GSM7461780,GSM7461781,GSM7461782,GSM7461783,GSM7461784,GSM7461785,GSM7461786,GSM7461787,GSM7461789,GSM7461790,GSM7461791,GSM7461792,GSM7461793,GSM7461794,GSM7461795,GSM7461796,GSM7461797,GSM7461798,GSM7461799,GSM7461800,GSM7461801,GSM7461802,GSM7461803,GSM7461804,GSM7461805,GSM7461806,GSM7461807,GSM7461808,GSM7461809,GSM7461811,GSM7461812,GSM7461813,GSM7461814,GSM7461815,GSM7461816,GSM7461817,GSM7461818,GSM7461819,GSM7461820,GSM7461821,GSM7461822,GSM7461823,GSM7461824,GSM7461825,GSM7461826,GSM7461827,GSM7461828,GSM7461829,GSM7461830,GSM7461831,GSM7461832,GSM7461833,GSM7461834,als_mean,control_mean,score,Symbol,importance
28775,3.532,4.187,3.611,1.901,11.55,9.881,3.194,6.1,2.662,2.207,3.295,6.979,2.799,5.583,11.99,6.778,0.0,12.61,8.697,11.47,6.242,0.6329,1.779,0.2746,0.9834,1.932,7.275,5.144,0.0,4.862,1.562,0.7181,0.0,0.0,5.596,0.5814,0.1709,9.945,6.768,1.913,4.187,4.119,1.405,3.929,4.2,4.5,4.864,7.836,1.988,5.953,4.232,5.104,0.2432,2.69,1.818,34.58,2.338,1.502,0.7587,7.942,1.005,0.6318,2.244,1.076,0.4642,2.561,4.264,8.708,1.86,0.0,4.388,3.112,12.34,4.051,1.11,8.391,21.02,1.099,3.678,4.086,2.71,0.689,2.367,4.356,3.236,1.073,6.656,3.058,0.0,14.33,2.714,19.18,11.88,0.5861,1.761,3.133,1.172,8.854,7.544,2.15,0.2754,12.08,2.51,0.621,5.549,1.401,1.716,9.518,0.5979,164.5,1.583,0.9653,1.529,1.675,35.27,2.134,5.567,35.33,6.077,1.483,3.454,1.292,5.372,7.293,5.024,2.233,9.595,2.381,4.802,2.079,1.181,1.341,4.618878125000001,9.893016666666668,-0.9550495300385744,IGLV7-46,0.9550495300385744
28707,0.0,2.592,21.67,0.0,1.214,0.0,0.0,0.0,0.0,7.825,0.6329,1.598,0.0,0.0,0.0,0.9441,0.0,5.546,6.32,0.0,0.0,0.0,1.101,0.0,0.0,0.9787,0.0,0.0,4.085,0.0,5.221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.282,1.293,1.355,0.0,0.0,0.0,0.0,3.348,0.0,0.0,0.0,0.0,0.0,0.0,2.586,1.019,30.09,0.0,0.0,0.0,1.746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.744,0.0,0.0,0.0,0.0,0.0,0.6678,0.0,0.0,0.0,0.0,0.0,6.874,0.0,0.0,1.633,0.0,0.0,1.088,17.76,1.313,0.0,0.0,34.37,0.0,1.153,2.944,0.0,0.0,33.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.96,2.726,0.0,0.0,1.1913072916666665,3.2374722222222223,-0.951412100324735,TRAJ48,0.951412100324735
28752,28.23,2.634,0.0,0.0,7.403,26.85,0.0,1.867,0.0,0.0,0.0,5.412,0.0,0.0,4.381,3.837,0.0,1.878,14.99,1.475,5.048,0.0,0.0,0.0,1.856,0.0,0.777,0.8825,0.0,7.707,0.0,4.065,2.146,0.0,0.0,0.0,0.0,9.384,2.947,0.0,0.0,0.0,3.41,14.3,1.486,0.0,0.0,0.0,0.0,0.0,0.0,1.313,2.753,0.0,0.0,0.0,2.206,5.103,1.074,2.498,0.0,0.0,0.0,0.0,0.0,3.107,3.219,0.0,15.79,0.0,1.774,0.0,2.182,0.0,0.0,3.563,0.8321,0.0,0.0,3.855,0.0,5.851,0.0,5.413,0.0,3.036,1.346,0.0,0.0,0.0,0.0,1.206,1.818,3.318,29.9,8.868,2.212,0.6683,0.0,1.107,23.39,14.86,9.906,1.172,1.496,1.133,1.619,0.0,0.0,35.7,2.56,0.0,0.0,2.107,1.091,4.393,43.53,9.524,0.8601,27.98,7.333,3.658,0.0,3.176,10.94,0.0,0.0,4.756,4.728,0.0,1.672,2.169,2.7394854166666662,6.21501111111111,-0.9481618591619183,TRAJ3,0.9481618591619183
109910381,8.361,9.362,4.347,6.139,5.847,8.836,3.061,17.69,25.93,43.96,104.4,78.22,228.4,9.246,123.7,79.18,48.91,54.15,108.2,934.6,86.38,150.7,139.6,371.5,846.4,327.1,404.7,266.3,827.7,241.8,1298.0,770.1,285.5,252.0,448.8,100.1,235.0,203.8,169.9,94.08,394.3,229.0,357.3,353.9,441.9,189.0,1646.0,265.3,235.5,393.7,219.1,203.3,257.2,231.2,34.55,169.9,300.6,327.1,349.4,111.5,259.4,55.09,363.5,346.4,79.92,604.1,727.7,1258.0,673.6,104.7,236.8,215.7,522.3,155.8,127.4,593.3,74.59,182.7,205.7,476.6,149.9,459.8,71.45,290.7,151.4,294.2,10.1,914.8,201.8,74.66,97.64,213.4,196.7,535.9,966.8,106.8,760.4,735.8,133.9,4429.0,122.5,84.23,484.7,640.0,611.4,138.3,95.91,49.8,160.4,435.2,135.5,456.7,240.7,168.1,221.1,392.5,257.2,173.5,206.5,963.5,641.9,863.1,183.5,28.22,1646.0,407.4,855.6,787.3,205.4,157.2,1249.0,1011.0,293.03228125,559.2350000000001,-0.9300575623188225,RNA5-8SN3,0.9300575623188225
28834,4.786,2.041,6.703,1.158,7.649,3.902,2.753,10.49,3.962,8.583,3.364,4.404,3.582,32.43,58.99,3.532,0.6856,7.279,3.318,4.288,1.304,1.041,4.335,3.766,1.438,0.578,9.485,1.539,0.8042,9.386,0.6853,11.03,0.4157,0.0,0.5754,0.9567,0.9374,1.136,0.571,2.623,5.166,7.341,3.524,0.9236,3.168,2.468,4.168,0.6139,1.869,8.706,5.391,9.67,0.5335,0.2682,0.0,1.667,0.0,0.1648,1.04,13.55,1.102,0.693,4.355,2.951,0.5092,3.211,1.871,6.368,1.785,5.271,1.719,4.172,6.343,6.22,0.0,5.522,7.416,0.0,6.094,6.349,1.858,0.3778,0.0,4.312,7.362,2.549,7.562,2.096,1.758,17.65,4.872,7.011,8.102,0.6429,2.704,1.718,1.286,4.661,27.41,2.573,2.719,3.888,1.419,3.406,4.637,0.4391,7.215,93.07,0.9838,9.023,1.24,2.329,3.633,1.837,10.36,0.2128,2.326,86.04,0.4999,0.0,1.421,0.0,1.768,1.538,1.484,41.02,2.923,4.915,4.809,5.903,2.753,2.732,4.575668750000001,9.513155555555556,-0.9149790051200154,IGLC7,0.9149790051200154
352962,0.05675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.245,0.3288,2.141,0.0,0.0,0.05648,3.171,0.0,0.0,0.0,3.615,0.0,0.1624,0.0,0.2159,0.0,0.08954,0.0,0.0,0.0,0.0,0.9031,0.08533,8.107,0.0,0.7986,0.0,0.0,0.0,0.05659,0.2844,0.0,0.0,0.0,3.126,0.0,0.1434,0.08781,0.1246,0.0,0.0,0.0,0.0,0.0,0.06643,0.0,0.0,0.0,0.0,0.0,0.05181,0.1205,0.0,0.0,0.0,0.0,4.565,11.54,0.07765,6.117,0.0,0.0,0.0,0.0,0.1053,0.1475,0.0,7.506,0.0,0.0,4.916,0.0,0.0,4.799,0.0,0.05804,0.0,0.04883,0.06493,0.0,0.0,0.0,0.5392,0.1164,0.0,0.0,0.0,0.0,0.0,4.45,0.0,0.0,0.0,0.1793,0.187,6.05,4.98,0.0,0.0,0.05532,0.0,0.0,0.0,4.482,4.907,9.964,0.0,0.0,0.0,0.0,0.0415,0.0,0.0,8.913,0.0,0.07662,0.0,0.0,19.29,0.0,0.0,0.03341,5.323,10.15,0.7253988541666666,2.196726388888889,-0.889665364644767,HLA-V,0.889665364644767
28473,3.512,5.552,3.314,0.6301,3.684,6.288,1.588,2.787,1.134,2.394,2.372,3.802,0.4639,5.551,0.3847,0.674,0.0,3.299,11.28,3.887,2.66,2.517,4.913,0.2731,0.0,1.048,6.824,2.325,0.3645,3.288,0.6212,5.474,0.0,0.0,1.739,0.0,2.209,8.241,1.553,0.0,2.082,0.0,1.597,5.582,1.827,1.279,0.0,5.287,0.0,7.399,0.0,12.92,0.9672,1.216,0.9038,0.0,2.712,0.1494,0.1886,2.632,5.494,0.0,1.716,9.095,2.77,0.9096,7.914,1.649,2.081,0.0,2.493,2.063,6.9,4.028,0.3678,0.0,0.4384,0.7287,1.945,0.6772,0.3368,6.85,0.7846,0.4225,5.482,1.422,7.328,3.991,2.125,0.0,1.227,0.0,5.748,0.8742,2.451,7.788,1.36,2.935,4.454,5.637,3.013,2.61,2.269,0.8233,2.365,0.7961,2.559,58.19,2.378,5.998,1.349,25.15,3.674,2.036,6.324,2.314,7.118,0.8364,5.287,6.88,3.434,0.6424,3.116,1.673,2.114,5.55,9.275,0.2785,9.756,2.432,1.908,3.239,2.619669791666667,5.5492694444444455,-0.8554758945176116,IGHV1-3,0.8554758945176116
28452,4.751,12.03,15.47,3.78,25.35,7.86,4.538,8.361,6.239,5.187,5.535,9.125,6.03,19.12,46.55,21.4,0.9322,4.619,13.54,9.329,17.14,2.203,12.18,4.233,1.63,3.843,9.553,9.145,0.3645,17.21,1.864,13.33,3.392,3.876,3.651,2.891,1.7,6.387,3.106,14.26,0.0,11.77,0.5989,14.79,4.699,9.269,6.499,19.2,5.648,11.35,3.665,23.3,2.176,1.702,2.712,31.74,4.262,2.987,5.281,16.67,2.997,1.257,4.806,5.35,2.077,7.277,14.7,7.834,3.468,2.389,3.74,1.031,14.95,12.35,1.471,27.74,14.47,1.457,44.66,2.37,7.41,1.37,2.746,10.67,5.959,2.133,9.455,4.371,1.593,21.11,2.454,21.19,22.99,5.828,2.101,5.452,5.245,11.74,10.08,6.414,5.478,13.57,6.43,0.8233,3.941,2.189,4.55,25.77,1.486,272.4,4.721,5.567,3.42,4.626,16.87,4.436,21.35,5.646,8.308,8.845,5.152,4.818,19.94,7.251,11.34,14.99,8.48,6.405,23.87,6.81,4.257,10.29,8.783849999999997,16.041897222222214,-0.8006117646946959,IGHV3-7,0.8006117646946959
113218486,5.867,1.877,1.121,13.63,2.638,3.189,0.9206,1.995,8.438,1.619,1.375,1.157,0.0,1.668,4.683,3.418,2.522,0.0,10.68,3.154,7.195,2.554,0.0,6.094,2.645,2.126,1.661,8.176,1.479,0.7847,2.521,2.897,3.058,1.311,3.527,1.173,2.758,0.8359,2.1,9.646,0.0,2.077,3.24,1.132,2.118,1.297,1.226,2.258,19.48,12.01,8.812,12.17,11.77,6.905,7.335,3.066,1.572,7.879,15.3,17.8,10.13,1.275,9.75,10.85,6.555,22.14,27.52,20.08,8.442,3.635,7.587,2.79,10.89,10.89,2.985,16.08,14.23,16.26,13.26,6.869,6.833,5.559,14.33,8.144,28.53,11.54,1.918,5.398,2.155,3.273,0.9955,4.298,6.478,8.276,1.421,1.58,1.576,11.43,3.804,2.366,13.33,4.237,3.99,2.505,3.198,2.423,0.0,22.88,0.0,7.744,2.737,7.01,9.766,12.76,23.33,1.565,17.11,12.73,11.03,29.91,15.68,7.82,14.81,27.16,12.47,5.63,11.83,9.604,31.16,19.24,14.3,42.52,6.280069791666667,11.657083333333334,-0.7979208057714131,MIR10392,0.7979208057714131
28809,7.753,9.855,6.444,1.491,3.737,12.76,5.523,14.47,4.027,5.464,164.4,13.11,2.823,12.93,697.4,4.786,0.9456,10.04,8.009,10.25,14.39,4.788,8.97,5.956,7.604,5.67,14.4,8.019,0.3697,18.24,5.041,11.83,3.823,2.949,0.8818,6.158,3.276,7.941,6.301,6.752,7.918,9.347,1.215,25.48,9.532,4.863,11.19,14.4,10.6,8.006,7.298,11.23,1.962,1.973,10.09,12.65,4.716,4.091,4.783,16.91,2.027,2.23,8.532,20.08,4.448,9.411,22.08,11.29,5.862,7.27,1.897,7.324,15.75,6.809,1.306,15.87,13.34,3.326,6.235,6.525,6.833,3.127,5.173,3.536,8.825,2.885,13.67,21.2,3.771,26.86,6.222,16.76,36.6,5.911,6.393,21.72,5.911,14.17,10.7,8.478,7.779,10.46,12.89,4.593,21.32,11.51,9.808,28.8,1.508,28.21,4.333,7.984,8.481,15.77,13.41,4.109,14.17,3.182,4.444,4.985,3.919,1.303,8.308,1.415,4.678,11.54,8.602,9.039,12.0,7.278,14.44,12.18,17.48884479166666,9.76963888888889,0.7796852095542818,IGLV3-1,0.7796852095542818
