patient,PC1,PC2,cluster
GSM7461691,6.646671211751655,-0.47390421699084767,1
GSM7461692,21.142701649373063,-6.110122812642526,1
GSM7461693,20.397051220878073,-4.959904097966879,1
GSM7461694,5.484077520988842,-1.2568174624220523,1
GSM7461695,7.855308153789998,-0.87469826214444,1
GSM7461696,17.01070880030085,0.003912940600099708,1
GSM7461697,11.947484036682658,-5.52674840527686,1
GSM7461698,-1.4448405815406165,-0.40016753016108664,1
GSM7461699,-12.291684228814912,9.72411633537187,1
GSM7461700,-18.219282365035756,7.977913222887109,1
GSM7461702,-3.4410615452378464,-3.1195674263664275,1
GSM7461703,3.5620857035551468,2.922872166133551,1
GSM7461705,-10.318694716390421,4.6961327623885225,1
GSM7461706,-2.882504766737698,1.435955779335984,1
GSM7461707,2.714763723359726,2.634364285459865,1
GSM7461708,-4.321972307301072,0.286947342992896,1
GSM7461709,-11.770960983431806,-1.5133995053097224,1
GSM7461710,0.7900449877484839,0.38127873174495497,1
GSM7461711,21.59537528938511,3.8474083270990453,1
GSM7461712,29.726074705553724,4.499241053454639,1
GSM7461713,10.4501256952325,0.20107695777762405,1
GSM7461714,6.198144137488807,-1.3490044139127177,1
GSM7461715,0.3106379862643974,0.07424601854183446,1
GSM7461717,-1.0527759510129702,3.6495376178955237,1
GSM7461718,-3.9565784148568004,0.30730410394416985,1
GSM7461720,-0.5964310038279212,1.729192911424312,1
GSM7461721,0.969871381403151,2.266055502475277,1
GSM7461722,-3.0742002870986163,2.1787589108984156,1
GSM7461723,-2.7775179046738914,-19.807043048054236,1
GSM7461724,17.316058878453386,-0.1895373134246416,1
GSM7461726,23.93132707557657,10.948570062496307,1
GSM7461727,-4.004907328201435,1.1021125804797849,1
GSM7461728,-17.21621143822513,-8.94192425809144,0
GSM7461729,-6.043248755318494,-0.6261427278756939,1
GSM7461730,-9.75418822256266,-3.241141277572968,1
GSM7461731,-8.59348158230111,-3.8440774824114494,1
GSM7461732,-4.797396667659295,0.07814210252692916,1
GSM7461733,0.4730728200772958,5.272157862378383,1
GSM7461734,35.914002116014046,1.1358312488353421,1
GSM7461735,-3.3387520359990894,3.3204338014411907,1
GSM7461736,-6.568096671434333,0.6385126383427636,1
GSM7461737,-1.8508776496790806,-0.9352552025717167,1
GSM7461738,-10.161416817122944,-0.09972412790237756,1
GSM7461739,7.907638549517532,1.4067186858439213,1
GSM7461740,-5.79571745897546,0.6823094591530654,1
GSM7461741,-2.373731664404223,0.2556032333094522,1
GSM7461743,1.1486212361753396,2.1476729208534526,1
GSM7461744,-6.9368002801876365,1.9015154095546845,1
GSM7461745,-3.310641149460424,1.8832415283660602,1
GSM7461746,-4.872602122207572,0.8742178551893965,1
GSM7461747,9.554046899292391,0.797790768305401,1
GSM7461748,-0.033846377060430616,1.8948834218930997,1
GSM7461749,-5.072280794874089,1.6768212594148235,1
GSM7461750,-3.403355089247984,0.6118479645356184,1
GSM7461751,-4.808171394207413,-22.880744964522883,1
GSM7461752,-8.308201615373566,-8.161591837398676,1
GSM7461753,-4.955259195043675,-0.47142245431016416,1
GSM7461754,1.1686510511020454,1.699469585341102,1
GSM7461755,-2.9978058237446508,4.456177597870213,1
GSM7461756,-4.778819939653239,0.9979900549844751,1
GSM7461759,-22.713916831446085,4.8656766596320375,1
GSM7461760,-7.221880186281751,-4.0686126650094545,1
GSM7461761,3.720365666651271,1.671043277511287,1
GSM7461762,2.1626342739869844,4.91231387995594,1
GSM7461764,28.31147163796068,-0.34915493625989347,1
GSM7461765,4.650373012335918,6.447819094546937,1
GSM7461766,1.6443077362116725,5.143503500093318,1
GSM7461767,-17.27901315546973,6.554779561621517,1
GSM7461768,-1.7271964115436704,3.4782672615443477,1
GSM7461769,-10.464646383309733,-69.54560736159564,1
GSM7461770,3.385813857464331,-3.5651655981460944,1
GSM7461771,-23.131852074510256,-0.31882184068115976,1
GSM7461772,-1.152329963236561,0.9556506405828699,1
GSM7461774,-1.9343283188767624,0.41937801422912774,1
GSM7461775,-10.370449993298804,2.4743256265380342,1
GSM7461776,-1.9271018736866021,1.3747840074199864,1
GSM7461777,22.34941453940577,-0.7673507331394769,1
GSM7461778,10.130296086514864,-0.19815674415681028,1
GSM7461779,-2.4915182508837166,1.565542757752827,1
GSM7461780,-23.64450976344174,35.9290875730592,1
GSM7461781,-6.408282686668086,-0.26906035392868877,1
GSM7461782,-10.360745341013986,-0.1450529371484747,1
GSM7461783,-1.7418777993070904,-0.06208718324463871,1
GSM7461784,7.48984273248298,-0.15787697903268189,1
GSM7461785,2.378946223182158,4.680543034159369,1
GSM7461786,-1.7440464342827446,1.158836259484884,1
