protein1,protein2,combined_score
9606.ENSP00000199708,9606.ENSP00000494175,950
9606.ENSP00000199708,9606.ENSP00000251595,828
9606.ENSP00000199708,9606.ENSP00000292896,967
9606.ENSP00000199708,9606.ENSP00000327431,847
9606.ENSP00000199708,9606.ENSP00000497236,795
9606.ENSP00000199708,9606.ENSP00000252951,854
9606.ENSP00000199708,9606.ENSP00000349270,909
9606.ENSP00000199708,9606.ENSP00000494708,990
9606.ENSP00000215375,9606.ENSP00000329757,985
9606.ENSP00000215375,9606.ENSP00000315774,980
9606.ENSP00000215375,9606.ENSP00000466010,785
9606.ENSP00000215754,9606.ENSP00000474412,756
9606.ENSP00000216338,9606.ENSP00000264553,710
9606.ENSP00000216338,9606.ENSP00000311300,765
9606.ENSP00000216338,9606.ENSP00000398568,935
9606.ENSP00000216338,9606.ENSP00000474412,869
9606.ENSP00000216338,9606.ENSP00000221978,969
9606.ENSP00000216338,9606.ENSP00000436423,958
9606.ENSP00000221978,9606.ENSP00000216338,969
9606.ENSP00000221978,9606.ENSP00000436423,951
9606.ENSP00000221978,9606.ENSP00000311300,899
9606.ENSP00000221978,9606.ENSP00000474412,890
9606.ENSP00000221978,9606.ENSP00000398568,933
9606.ENSP00000222247,9606.ENSP00000431240,999
9606.ENSP00000222247,9606.ENSP00000452763,999
9606.ENSP00000222247,9606.ENSP00000346037,999
9606.ENSP00000222247,9606.ENSP00000246802,940
9606.ENSP00000222247,9606.ENSP00000472469,999
9606.ENSP00000222247,9606.ENSP00000466010,999
9606.ENSP00000222247,9606.ENSP00000447001,999
9606.ENSP00000222247,9606.ENSP00000307889,999
9606.ENSP00000222247,9606.ENSP00000470972,999
9606.ENSP00000222247,9606.ENSP00000471455,879
9606.ENSP00000246802,9606.ENSP00000222247,940
9606.ENSP00000246802,9606.ENSP00000307889,940
9606.ENSP00000246802,9606.ENSP00000447001,944
9606.ENSP00000251595,9606.ENSP00000199708,828
9606.ENSP00000251595,9606.ENSP00000322421,999
9606.ENSP00000251595,9606.ENSP00000292896,996
9606.ENSP00000251595,9606.ENSP00000494175,999
9606.ENSP00000251595,9606.ENSP00000494708,997
9606.ENSP00000251595,9606.ENSP00000472469,911
9606.ENSP00000251595,9606.ENSP00000466010,906
9606.ENSP00000251595,9606.ENSP00000327431,850
9606.ENSP00000251595,9606.ENSP00000470972,920
9606.ENSP00000252951,9606.ENSP00000199708,854
9606.ENSP00000252951,9606.ENSP00000322421,717
9606.ENSP00000252951,9606.ENSP00000292896,994
9606.ENSP00000252951,9606.ENSP00000494175,997
9606.ENSP00000252951,9606.ENSP00000494708,960
9606.ENSP00000252951,9606.ENSP00000349270,829
9606.ENSP00000252951,9606.ENSP00000327431,978
9606.ENSP00000263368,9606.ENSP00000497236,757
