drug_name,network_score,genes_targeted,targeted_genes
MONOAMINE OXIDASE INHIBITOR,154.79954627949155,1,HLA-A
POLYVALENT MELANOMA VACCINE,154.79954627949155,1,HLA-A
TEBENTAFUSP,154.79954627949155,1,HLA-A
TERBINAFINE,154.79954627949155,1,HLA-A
TETANUS ANTITOXIN,154.79954627949155,1,HLA-A
THERAPEUTIC GLUCOCORTICOID,154.79954627949155,1,HLA-A
TRIMIPRAMINE,154.79954627949155,1,HLA-A
VANCOMYCIN,154.79954627949155,1,HLA-A
ZONISAMIDE,154.79954627949155,1,HLA-A
1D09C3,151.90207803992723,1,HLA-DRA
ATEZOLIZUMAB,151.90207803992723,1,HLA-DRA
1G244,133.87636116152453,1,FPR1
AG-14,133.87636116152453,1,FPR1
CHEMBL:CHEMBL1290365,133.87636116152453,1,FPR1
COMPOUND 24DD [PMID: 20684603],133.87636116152453,1,FPR1
COMPOUND 42 [PMID: 37721854],133.87636116152453,1,FPR1
COMPOUND 9 [PMID: 20718420],133.87636116152453,1,FPR1
ICED-2,133.87636116152453,1,FPR1
PHENYLBUTAZONE,133.87636116152453,1,FPR1
REBAMIPIDE,133.87636116152453,1,FPR1
SULFINPYRAZONE,133.87636116152453,1,FPR1
TALABOSTAT,133.87636116152453,1,FPR1
TENELIGLIPTIN,133.87636116152453,1,FPR1
TOMINOSTAT,133.87636116152453,1,FPR1
VILDAGLIPTIN,133.87636116152453,1,FPR1
ASPIRIN,117.93541742286747,1,FCER1G
BENZYLPENICILLOYL POLYLYSINE,117.93541742286747,1,FCER1G
COMPOUND 66 [PMID: 21802293],117.93541742286747,1,FCER1G
HALOPERIDOL DECANOATE,107.1574047186932,1,RGS2
CHEMBL:CHEMBL585502,94.73747731397464,1,S100A4
DAUNORUBICIN HYDROCHLORIDE,94.73747731397464,1,S100A4
ALX40-4C,91.81383847549904,1,ACTG1
BALIXAFORTIDE,91.81383847549904,1,ACTG1
COMPOUND 46C [PMID: 29350534],91.81383847549904,1,ACTG1
CX549,91.81383847549904,1,ACTG1
CXCL12&ALPHA;,91.81383847549904,1,ACTG1
CXCL12&BETA;,91.81383847549904,1,ACTG1
CXCL12&DELTA;,91.81383847549904,1,ACTG1
CXCL12&EPSILON;,91.81383847549904,1,ACTG1
CXCL12&GAMMA;,91.81383847549904,1,ACTG1
CXCL12&PHI;,91.81383847549904,1,ACTG1
CXCL12-(1-17),91.81383847549904,1,ACTG1
CXCL12-(1-9),91.81383847549904,1,ACTG1
CXCL12-(1-9) DIMER,91.81383847549904,1,ACTG1
CXCL122 (DIMER),91.81383847549904,1,ACTG1
CXCL12H25R (MONOMER),91.81383847549904,1,ACTG1
CXCR4 ANTAGONIST 22,91.81383847549904,1,ACTG1
ISOTHIOUREA-1A,91.81383847549904,1,ACTG1
ISOTHIOUREA-1T,91.81383847549904,1,ACTG1
MAVORIXAFOR,91.81383847549904,1,ACTG1
MOTIXAFORTIDE,91.81383847549904,1,ACTG1
PLERIXAFOR,91.81383847549904,1,ACTG1
"SDF-1, 1-9[P2G] DIMER",91.81383847549904,1,ACTG1
SDF1 P2G,91.81383847549904,1,ACTG1
T134,91.81383847549904,1,ACTG1
T140,91.81383847549904,1,ACTG1
T22,91.81383847549904,1,ACTG1
THYMOSIN BETA-4,91.81383847549904,1,ACTG1
TIQ-15,91.81383847549904,1,ACTG1
ULOCUPLUMAB,91.81383847549904,1,ACTG1
VINCRISTINE,91.81383847549904,1,ACTG1
VMIP-II,91.81383847549904,1,ACTG1
X4-HIV-1 GP120,91.81383847549904,1,ACTG1
[125I]CXCL12&ALPHA; (HUMAN),91.81383847549904,1,ACTG1
[125I]CXCL12&BETA; (HUMAN),91.81383847549904,1,ACTG1
ATOGEPANT,91.79288566243184,1,S100A12
EPTINEZUMAB,91.79288566243184,1,S100A12
RIMEGEPANT,91.79288566243184,1,S100A12
UBROGEPANT,91.79288566243184,1,S100A12
ACETYLCYSTEINE,85.9384573502722,1,CXCR2
ALPHA-TOCOPHEROL,85.9384573502722,1,CXCR2
AZD-5122,85.9384573502722,1,CXCR2
BEVACIZUMAB-AWWB,85.9384573502722,1,CXCR2
CLOTRIMAZOLE,85.9384573502722,1,CXCR2
DANIRIXIN,85.9384573502722,1,CXCR2
ELUBRIXIN,85.9384573502722,1,CXCR2
GENISTEIN,85.9384573502722,1,CXCR2
MECHLORETHAMINE,85.9384573502722,1,CXCR2
VIMNERIXIN,85.9384573502722,1,CXCR2
DORDAVIPRONE,83.51081669691473,1,H3-3A
SPRI3,83.51081669691473,1,H3-3A
ALPHA 1-ANTITRYPSIN,82.37854809437391,1,SERPINA1
IGMESINE,82.37854809437391,1,SERPINA1
GANGLIOSIDE GM2,79.15832123411971,1,VIM
PRITUMUMAB,79.15832123411971,1,VIM
COMPOUND 20 [PMID: 22136433],73.55284936479126,1,CTSS
PETESICATIB,73.55284936479126,1,CTSS
RKI-1447,73.55284936479126,1,CTSS
STAUROSPORINE,73.55284936479126,1,CTSS
FLUOROURACIL,71.80696914700546,1,TPT1
