GeneID,Symbol,Description,GeneType,score,abs_score
6192,RPS4Y1,ribosomal protein S4 Y-linked 1,protein-coding,-5.100265676196496,5.100265676196496
3046,HBE1,hemoglobin subunit epsilon 1,protein-coding,-4.651257689176107,4.651257689176107
728358,DEFA1B,defensin alpha 1B,protein-coding,-3.5115652595931324,3.5115652595931324
1667,DEFA1,defensin alpha 1,protein-coding,-3.5076695137099483,3.5076695137099483
1668,DEFA3,defensin alpha 3,protein-coding,-3.2798947308593465,3.2798947308593465
3119,HLA-DQB1,"major histocompatibility complex, class II, DQ beta 1",protein-coding,-2.833518369480567,2.833518369480567
1116,CHI3L1,chitinase 3 like 1,protein-coding,-2.592800556924936,2.592800556924936
4057,LTF,lactotransferrin,protein-coding,-2.493838977857334,2.493838977857334
3117,HLA-DQA1,"major histocompatibility complex, class II, DQ alpha 1",protein-coding,-2.347146183593904,2.347146183593904
3127,HLA-DRB5,"major histocompatibility complex, class II, DR beta 5",protein-coding,-2.2401156073363273,2.2401156073363273
820,CAMP,cathelicidin antimicrobial peptide,protein-coding,-2.1400137719169376,2.1400137719169376
28959,TMEM176B,transmembrane protein 176B,protein-coding,-2.099856573318783,2.099856573318783
6231,RPS26,ribosomal protein S26,protein-coding,-2.043256966410073,2.043256966410073
55365,TMEM176A,transmembrane protein 176A,protein-coding,-1.9567774794907264,1.9567774794907264
1669,DEFA4,defensin alpha 4,protein-coding,-1.9457814428580578,1.9457814428580578
566,AZU1,azurocidin 1,protein-coding,-1.926127760977483,1.926127760977483
137797,LYPD2,LY6/PLAUR domain containing 2,protein-coding,-1.8934837144088477,1.8934837144088477
3434,IFIT1,interferon induced protein with tetratricopeptide repeats 1,protein-coding,1.8690394242718233,1.8690394242718233
3512,JCHAIN,joining chain of multimeric IgA and IgM,protein-coding,-1.7983941409578814,1.7983941409578814
3437,IFIT3,interferon induced protein with tetratricopeptide repeats 3,protein-coding,1.7118616619552693,1.7118616619552693
91543,RSAD2,radical S-adenosyl methionine domain containing 2,protein-coding,1.7052395584738502,1.7052395584738502
3118,HLA-DQA2,"major histocompatibility complex, class II, DQ alpha 2",protein-coding,-1.6887689634515648,1.6887689634515648
2537,IFI6,interferon alpha inducible protein 6,protein-coding,1.6762454021071969,1.6762454021071969
2944,GSTM1,glutathione S-transferase mu 1,protein-coding,-1.6206787083268361,1.6206787083268361
51759,C9orf78,chromosome 9 open reading frame 78,protein-coding,-1.535134994932286,1.535134994932286
100423062,IGLL5,immunoglobulin lambda like polypeptide 5,protein-coding,-1.5295773480746282,1.5295773480746282
712,C1QA,complement C1q A chain,protein-coding,-1.5251029619402698,1.5251029619402698
9636,ISG15,ISG15 ubiquitin like modifier,protein-coding,1.5234889613032871,1.5234889613032871
3934,LCN2,lipocalin 2,protein-coding,-1.5040470958070606,1.5040470958070606
4599,MX1,MX dynamin like GTPase 1,protein-coding,1.4804924983237036,1.4804924983237036
51191,HERC5,HECT and RLD domain containing E3 ubiquitin protein ligase 5,protein-coding,1.4677934547043134,1.4677934547043134
8638,OASL,2'-5'-oligoadenylate synthetase like,protein-coding,1.426911683600683,1.426911683600683
100130520,CD300H,CD300H molecule (gene/pseudogene),protein-coding,1.417834485086447,1.417834485086447
9415,FADS2,fatty acid desaturase 2,protein-coding,-1.3991746306081578,1.3991746306081578
5819,NECTIN2,nectin cell adhesion molecule 2,protein-coding,-1.381015095697694,1.381015095697694
1511,CTSG,cathepsin G,protein-coding,-1.3690440174221679,1.3690440174221679
1675,CFD,complement factor D,protein-coding,1.3552175594691833,1.3552175594691833
56729,RETN,resistin,protein-coding,-1.3433328816620924,1.3433328816620924
671,BPI,bactericidal permeability increasing protein,protein-coding,-1.3312590820707055,1.3312590820707055
8284,KDM5D,lysine demethylase 5D,protein-coding,-1.3162669274495606,1.3162669274495606
