GeneID,Symbol,Description,GeneType,score,abs_score
30848,CTAG2,cancer/testis antigen 2,protein-coding,4.679143529911423,4.679143529911423
3120,HLA-DQB2,"major histocompatibility complex, class II, DQ beta 2",protein-coding,-4.331106006225047,4.331106006225047
2352,FOLR3,folate receptor gamma,protein-coding,-2.7668761447628616,2.7668761447628616
1485,CTAG1B,cancer/testis antigen 1B,protein-coding,2.73304883828398,2.73304883828398
722,C4BPA,complement component 4 binding protein alpha,protein-coding,2.6421245639574535,2.6421245639574535
6285,S100B,S100 calcium binding protein B,protein-coding,-2.565894742595221,2.565894742595221
5657,PRTN3,proteinase 3,protein-coding,-2.5050828449657914,2.5050828449657914
10232,MSLN,mesothelin,protein-coding,-2.493069239865799,2.493069239865799
3008,H1-4,"H1.4 linker histone, cluster member",protein-coding,-2.452911488806115,2.452911488806115
1290,COL5A2,collagen type V alpha 2 chain,protein-coding,2.406106089969778,2.406106089969778
348093,RBPMS2,"RNA binding protein, mRNA processing factor 2",protein-coding,2.259911140519626,2.259911140519626
388564,TMEM238,transmembrane protein 238,protein-coding,-2.203085620665036,2.203085620665036
3119,HLA-DQB1,"major histocompatibility complex, class II, DQ beta 1",protein-coding,2.0667211238757197,2.0667211238757197
6007,RHD,Rh blood group D antigen,protein-coding,-2.024138435378446,2.024138435378446
81796,SLCO5A1,solute carrier organic anion transporter family member 5A1,protein-coding,-2.004739633570953,2.004739633570953
284194,LGALS9B,galectin 9B,protein-coding,-1.9627866714054816,1.9627866714054816
202134,FAM153B,family with sequence similarity 153 member B,protein-coding,1.9181162215463943,1.9181162215463943
257101,ZNF683,zinc finger protein 683,protein-coding,-1.9056618051665288,1.9056618051665288
3904,LAIR2,leukocyte associated immunoglobulin like receptor 2,protein-coding,-1.8935994684482038,1.8935994684482038
8653,DDX3Y,DEAD-box helicase 3 Y-linked,protein-coding,1.8645142945628648,1.8645142945628648
7280,TUBB2A,tubulin beta 2A class IIa,protein-coding,-1.8506916474495818,1.8506916474495818
101929469,TEX52,testis expressed 52,protein-coding,1.8491304716266992,1.8491304716266992
1233,CCR4,C-C motif chemokine receptor 4,protein-coding,1.8471766491061528,1.8471766491061528
2944,GSTM1,glutathione S-transferase mu 1,protein-coding,-1.8468364944629816,1.8468364944629816
58516,SINHCAF,SIN3-HDAC complex associated factor,protein-coding,1.8396853735811856,1.8396853735811856
5819,NECTIN2,nectin cell adhesion molecule 2,protein-coding,-1.814164527587974,1.814164527587974
8284,KDM5D,lysine demethylase 5D,protein-coding,1.8094016423527695,1.8094016423527695
1663,DDX11,DEAD/H-box helicase 11,protein-coding,-1.7836348500988155,1.7836348500988155
6535,SLC6A8,solute carrier family 6 member 8,protein-coding,-1.7517006683058958,1.7517006683058958
91947,ARRDC4,arrestin domain containing 4,protein-coding,1.7480977760877796,1.7480977760877796
388588,SMIM1,small integral membrane protein 1 (Vel blood group),protein-coding,-1.7219704038699095,1.7219704038699095
10038,PARP2,poly(ADP-ribose) polymerase 2,protein-coding,-1.7169598777012272,1.7169598777012272
28,ABO,"ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase",protein-coding,1.7164766608534059,1.7164766608534059
2162,F13A1,coagulation factor XIII A chain,protein-coding,1.7078928287987705,1.7078928287987705
92304,SCGB3A1,secretoglobin family 3A member 1,protein-coding,-1.6862891993697118,1.6862891993697118
2150,F2RL1,F2R like trypsin receptor 1,protein-coding,1.6814543447527968,1.6814543447527968
3429,IFI27,interferon alpha inducible protein 27,protein-coding,-1.6610673991586633,1.6610673991586633
4605,MYBL2,MYB proto-oncogene like 2,protein-coding,-1.6489449209289464,1.6489449209289464
138307,LCN8,lipocalin 8,protein-coding,-1.644459492728477,1.644459492728477
1237,CCR8,C-C motif chemokine receptor 8,protein-coding,1.6416023763282683,1.6416023763282683
27344,PCSK1N,proprotein convertase subtilisin/kexin type 1 inhibitor,protein-coding,-1.6310218537419392,1.6310218537419392
