GeneID,Symbol,Description,GeneType,score,abs_score
3050,HBZ,hemoglobin subunit zeta,protein-coding,-9.706485041200487,9.706485041200487
6192,RPS4Y1,ribosomal protein S4 Y-linked 1,protein-coding,-5.100265676196496,5.100265676196496
3957,LGALS2,galectin 2,protein-coding,-3.127533073183256,3.127533073183256
3048,HBG2,hemoglobin subunit gamma 2,protein-coding,-2.8702770317499233,2.8702770317499233
254863,TMEM256,transmembrane protein 256,protein-coding,-2.549498565005401,2.549498565005401
3047,HBG1,hemoglobin subunit gamma 1,protein-coding,-2.4515280977913045,2.4515280977913045
137797,LYPD2,LY6/PLAUR domain containing 2,protein-coding,-2.4034328607131585,2.4034328607131585
2352,FOLR3,folate receptor gamma,protein-coding,-2.3088738267436355,2.3088738267436355
6037,RNASE3,ribonuclease A family member 3,protein-coding,-2.3007281790959198,2.3007281790959198
51042,ZNF593,zinc finger protein 593,protein-coding,-2.2516458631933416,2.2516458631933416
100128569,TEKTIP1,tektin bundle interacting protein 1,protein-coding,-2.14927056685961,2.14927056685961
138716,RPP25L,ribonuclease P/MRP subunit p25 like,protein-coding,-2.0085422600029177,2.0085422600029177
3872,KRT17,keratin 17,protein-coding,1.9956654097361088,1.9956654097361088
388588,SMIM1,small integral membrane protein 1 (Vel blood group),protein-coding,-1.9550124025686437,1.9550124025686437
23741,EID1,EP300 interacting inhibitor of differentiation 1,protein-coding,-1.9418605895179095,1.9418605895179095
5730,PTGDS,prostaglandin D2 synthase,protein-coding,-1.898203235794177,1.898203235794177
6278,S100A7,S100 calcium binding protein A7,protein-coding,1.8862024437500557,1.8862024437500557
6231,RPS26,ribosomal protein S26,protein-coding,-1.84392895131918,1.84392895131918
8294,H4C9,H4 clustered histone 9,protein-coding,1.7989987251197004,1.7989987251197004
79957,PAQR6,progestin and adipoQ receptor family member 6,protein-coding,-1.7690196516712762,1.7690196516712762
2592,GALT,galactose-1-phosphate uridylyltransferase,protein-coding,-1.7476962116150143,1.7476962116150143
6348,CCL3,C-C motif chemokine ligand 3,protein-coding,1.69722172525323,1.69722172525323
2944,GSTM1,glutathione S-transferase mu 1,protein-coding,-1.6918178993847792,1.6918178993847792
7136,TNNI2,"troponin I2, fast skeletal type",protein-coding,-1.684692981185185,1.684692981185185
166012,CHST13,carbohydrate sulfotransferase 13,protein-coding,-1.6783159025504606,1.6783159025504606
102723407,LOC102723407,immunoglobulin heavy variable 4-38-2-like,protein-coding,-1.6768774303412144,1.6768774303412144
5005,ORM2,orosomucoid 2,protein-coding,-1.6752136337118169,1.6752136337118169
89953,KLC4,kinesin light chain 4,protein-coding,-1.6624900777613079,1.6624900777613079
8772,FADD,Fas associated via death domain,protein-coding,-1.6510315857523692,1.6510315857523692
5816,PVALB,parvalbumin,protein-coding,1.6509386586002508,1.6509386586002508
5473,PPBP,pro-platelet basic protein,protein-coding,1.6375316009894487,1.6375316009894487
25793,FBXO7,F-box protein 7,protein-coding,1.6340400205901149,1.6340400205901149
4694,NDUFA1,NADH:ubiquinone oxidoreductase subunit A1,protein-coding,-1.584249975616196,1.584249975616196
4493,MT1E,metallothionein 1E,protein-coding,1.5825250623622218,1.5825250623622218
29765,TMOD4,tropomodulin 4,protein-coding,-1.5747433706340657,1.5747433706340657
9556,ATP5MJ,ATP synthase membrane subunit j,protein-coding,-1.5695596897522286,1.5695596897522286
26472,PPP1R14B,protein phosphatase 1 regulatory inhibitor subunit 14B,protein-coding,-1.552513978175635,1.552513978175635
54550,NECAB2,N-terminal EF-hand calcium binding protein 2,protein-coding,-1.5507933218673178,1.5507933218673178
79797,ZNF408,zinc finger protein 408,protein-coding,-1.540610438166625,1.540610438166625
