GeneID,Symbol,Description,GeneType,score,abs_score
137797,LYPD2,LY6/PLAUR domain containing 2,protein-coding,-4.633736688296766,4.633736688296766
3809,KIR2DS4,"killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4",protein-coding,-3.4071138364259275,3.4071138364259275
340205,TREML1,triggering receptor expressed on myeloid cells like 1,protein-coding,-3.05694715620412,3.05694715620412
414062,CCL3L3,C-C motif chemokine ligand 3 like 3,protein-coding,-2.9620950183104475,2.9620950183104475
5816,PVALB,parvalbumin,protein-coding,-2.854934896797878,2.854934896797878
149345,SHISA4,shisa family member 4,protein-coding,-2.757222441822474,2.757222441822474
10398,MYL9,myosin light chain 9,protein-coding,-2.716987807249995,2.716987807249995
6678,SPARC,secreted protein acidic and cysteine rich,protein-coding,-2.6950739945013353,2.6950739945013353
6285,S100B,S100 calcium binding protein B,protein-coding,-2.6928376189999024,2.6928376189999024
1191,CLU,clusterin,protein-coding,-2.6003151181383286,2.6003151181383286
54498,SMOX,spermine oxidase,protein-coding,-2.5905345447709247,2.5905345447709247
5196,PF4,platelet factor 4,protein-coding,-2.5813418974002746,2.5813418974002746
80739,MPIG6B,megakaryocyte and platelet inhibitory receptor G6b,protein-coding,-2.5811124946662796,2.5811124946662796
2209,FCGR1A,Fc gamma receptor Ia,protein-coding,2.5682530377703854,2.5682530377703854
3674,ITGA2B,integrin subunit alpha 2b,protein-coding,-2.5482006263978505,2.5482006263978505
7280,TUBB2A,tubulin beta 2A class IIa,protein-coding,-2.545735569507255,2.545735569507255
2815,GP9,glycoprotein IX platelet,protein-coding,-2.508797005691157,2.508797005691157
10232,MSLN,mesothelin,protein-coding,-2.493069239865799,2.493069239865799
5197,PF4V1,platelet factor 4 variant 1,protein-coding,-2.4458172280956303,2.4458172280956303
10917,BTNL3,butyrophilin like 3,protein-coding,-2.4277078448245897,2.4277078448245897
5473,PPBP,pro-platelet basic protein,protein-coding,-2.4242421015619118,2.4242421015619118
375704,ENHO,energy homeostasis associated,protein-coding,-2.4149318703068063,2.4149318703068063
8970,H2BC11,H2B clustered histone 11,protein-coding,-2.4054039438941888,2.4054039438941888
6557,SLC12A1,solute carrier family 12 member 1,protein-coding,2.3980809664794434,2.3980809664794434
4900,NRGN,neurogranin,protein-coding,-2.396396394080882,2.396396394080882
3848,KRT1,keratin 1,protein-coding,-2.3802162528113997,2.3802162528113997
23584,VSIG2,V-set and immunoglobulin domain containing 2,protein-coding,-2.3507530962115735,2.3507530962115735
259215,LY6G6F,lymphocyte antigen 6 family member G6F,protein-coding,-2.3034939285908185,2.3034939285908185
7125,TNNC2,"troponin C2, fast skeletal type",protein-coding,-2.2828130040907406,2.2828130040907406
102723407,LOC102723407,immunoglobulin heavy variable 4-38-2-like,protein-coding,-2.2363877217797694,2.2363877217797694
340348,TSPAN33,tetraspanin 33,protein-coding,-2.236277379830799,2.236277379830799
2812,GP1BB,glycoprotein Ib platelet subunit beta,protein-coding,-2.230474000219226,2.230474000219226
440348,NPIPB15,nuclear pore complex interacting protein family member B15,protein-coding,-2.208618342882685,2.208618342882685
4635,MYL4,myosin light chain 4,protein-coding,-2.195516819959256,2.195516819959256
4824,NKX3-1,NK3 homeobox 1,protein-coding,-2.1954961049283814,2.1954961049283814
29126,CD274,CD274 molecule,protein-coding,2.128845400500943,2.128845400500943
110599563,LY6G6F-LY6G6D,LY6G6F-LY6G6D readthrough,protein-coding,-2.1088373481135823,2.1088373481135823
3693,ITGB5,integrin subunit beta 5,protein-coding,-2.093173998468673,2.093173998468673
5819,NECTIN2,nectin cell adhesion molecule 2,protein-coding,-2.090775931818907,2.090775931818907
212,ALAS2,5'-aminolevulinate synthase 2,protein-coding,-2.07705871464747,2.07705871464747
2038,EPB42,erythrocyte membrane protein band 4.2,protein-coding,-2.0708256579838924,2.0708256579838924
92304,SCGB3A1,secretoglobin family 3A member 1,protein-coding,-2.0616441012972584,2.0616441012972584
29785,CYP2S1,cytochrome P450 family 2 subfamily S member 1,protein-coding,-2.0351533915495437,2.0351533915495437
90952,ESAM,endothelial cell adhesion molecule,protein-coding,-2.032360361386042,2.032360361386042
56953,NT5M,"5',3'-nucleotidase, mitochondrial",protein-coding,-2.012186888965427,2.012186888965427
343171,OR2W3,olfactory receptor family 2 subfamily W member 3,protein-coding,-2.0079609765731727,2.0079609765731727
8290,H3-4,"H3.4 histone, cluster member",protein-coding,2.007602848851362,2.007602848851362
116173,CMTM5,CKLF like MARVEL transmembrane domain containing 5,protein-coding,-2.003715584445618,2.003715584445618
51629,SLC25A39,solute carrier family 25 member 39,protein-coding,-1.9769706585347016,1.9769706585347016
2623,GATA1,GATA binding protein 1,protein-coding,-1.9661468878632384,1.9661468878632384
284194,LGALS9B,galectin 9B,protein-coding,-1.96496572741151,1.96496572741151
9172,MYOM2,myomesin 2,protein-coding,1.9636429297096296,1.9636429297096296
83699,SH3BGRL2,SH3 domain binding glutamate rich protein like 2,protein-coding,-1.959078941756984,1.959078941756984
