GeneID,Symbol,Description,GeneType,score,abs_score
100128071,FAM229A,family with sequence similarity 229 member A,protein-coding,-3.734013597460304,3.734013597460304
57535,ELAPOR1,endosome-lysosome associated apoptosis and autophagy regulator 1,protein-coding,-3.5224758074637426,3.5224758074637426
388588,SMIM1,small integral membrane protein 1 (Vel blood group),protein-coding,-3.39468430077337,3.39468430077337
8115,TCL1A,TCL1 family AKT coactivator A,protein-coding,-3.360561151041564,3.360561151041564
27344,PCSK1N,proprotein convertase subtilisin/kexin type 1 inhibitor,protein-coding,-3.3241443733996765,3.3241443733996765
100996939,PYURF,PIGY upstream open reading frame,protein-coding,-3.2599762349717505,3.2599762349717505
84992,PIGY,phosphatidylinositol glycan anchor biosynthesis class Y,protein-coding,-3.2335018643213176,3.2335018643213176
1675,CFD,complement factor D,protein-coding,-3.112883620084234,3.112883620084234
7130,TNFAIP6,TNF alpha induced protein 6,protein-coding,-3.1056403467625575,3.1056403467625575
11219,TREX2,three prime repair exonuclease 2,protein-coding,-3.0268787998733733,3.0268787998733733
8819,SAP30,Sin3A associated protein 30,protein-coding,-2.98661882016244,2.98661882016244
199675,MCEMP1,mast cell expressed membrane protein 1,protein-coding,-2.969851275294651,2.969851275294651
10917,BTNL3,butyrophilin like 3,protein-coding,-2.9083688188892673,2.9083688188892673
1164,CKS2,CDC28 protein kinase regulatory subunit 2,protein-coding,-2.879787766624217,2.879787766624217
166012,CHST13,carbohydrate sulfotransferase 13,protein-coding,-2.8627919735786636,2.8627919735786636
388962,BOLA3,bolA family member 3,protein-coding,-2.832093151822847,2.832093151822847
196792,FAM24B,family with sequence similarity 24 member B,protein-coding,-2.809621830241372,2.809621830241372
92815,H2AC25,H2A clustered histone 25,protein-coding,-2.772057099656119,2.772057099656119
8358,H3C2,H3 clustered histone 2,protein-coding,2.7700899839732362,2.7700899839732362
93622,LOC93622,Morf4 family associated protein 1 like 1,protein-coding,-2.7485976011332065,2.7485976011332065
2205,FCER1A,Fc epsilon receptor Ia,protein-coding,-2.639818210267106,2.639818210267106
