GeneID,Symbol,Description,GeneType,score,abs_score
3050,HBZ,hemoglobin subunit zeta,protein-coding,-9.706485041200487,9.706485041200487
6192,RPS4Y1,ribosomal protein S4 Y-linked 1,protein-coding,-5.100265676196496,5.100265676196496
3046,HBE1,hemoglobin subunit epsilon 1,protein-coding,-4.651257689176107,4.651257689176107
55365,TMEM176A,transmembrane protein 176A,protein-coding,-3.24224001295157,3.24224001295157
28959,TMEM176B,transmembrane protein 176B,protein-coding,-3.168688942564194,3.168688942564194
6285,S100B,S100 calcium binding protein B,protein-coding,2.854848043989925,2.854848043989925
1675,CFD,complement factor D,protein-coding,-2.6935057305522947,2.6935057305522947
1669,DEFA4,defensin alpha 4,protein-coding,-1.9167380402248,1.9167380402248
137797,LYPD2,LY6/PLAUR domain containing 2,protein-coding,-1.891661234642593,1.891661234642593
284415,VSTM1,V-set and transmembrane domain containing 1,protein-coding,-1.8044643054492557,1.8044643054492557
10158,PDZK1IP1,PDZK1 interacting protein 1,protein-coding,-1.695395625373006,1.695395625373006
160364,CLEC12A,C-type lectin domain family 12 member A,protein-coding,-1.6394245419172653,1.6394245419172653
1668,DEFA3,defensin alpha 3,protein-coding,-1.5613490757595982,1.5613490757595982
7280,TUBB2A,tubulin beta 2A class IIa,protein-coding,-1.5180520975297833,1.5180520975297833
1593,CYP27A1,cytochrome P450 family 27 subfamily A member 1,protein-coding,-1.5170661011674424,1.5170661011674424
719,C3AR1,complement C3a receptor 1,protein-coding,-1.5035332598049582,1.5035332598049582
728358,DEFA1B,defensin alpha 1B,protein-coding,-1.462224918651775,1.462224918651775
1667,DEFA1,defensin alpha 1,protein-coding,-1.4584766893873264,1.4584766893873264
140807,KRT72,keratin 72,protein-coding,-1.44632170350917,1.44632170350917
722,C4BPA,complement component 4 binding protein alpha,protein-coding,1.3949804468855012,1.3949804468855012
9997,SCO2,synthesis of cytochrome C oxidase 2,protein-coding,-1.3903366952314458,1.3903366952314458
4599,MX1,MX dynamin like GTPase 1,protein-coding,-1.38978499683415,1.38978499683415
6037,RNASE3,ribonuclease A family member 3,protein-coding,-1.3456386051496958,1.3456386051496958
1052,CEBPD,CCAAT enhancer binding protein delta,protein-coding,-1.345187450639856,1.345187450639856
9415,FADS2,fatty acid desaturase 2,protein-coding,-1.342776669339907,1.342776669339907
3092,HIP1,huntingtin interacting protein 1,protein-coding,-1.3371723933012796,1.3371723933012796
8284,KDM5D,lysine demethylase 5D,protein-coding,-1.3162669274495606,1.3162669274495606
1511,CTSG,cathepsin G,protein-coding,-1.3133828907267289,1.3133828907267289
2812,GP1BB,glycoprotein Ib platelet subunit beta,protein-coding,-1.2992447279268398,1.2992447279268398
9086,EIF1AY,eukaryotic translation initiation factor 1A Y-linked,protein-coding,-1.2792527039354045,1.2792527039354045
1028,CDKN1C,cyclin dependent kinase inhibitor 1C,protein-coding,-1.2390979915159328,1.2390979915159328
10857,PGRMC1,progesterone receptor membrane component 1,protein-coding,-1.238563925146367,1.238563925146367
56911,MAP3K7CL,MAP3K7 C-terminal like,protein-coding,-1.1950687085294374,1.1950687085294374
5819,NECTIN2,nectin cell adhesion molecule 2,protein-coding,-1.1592003999754206,1.1592003999754206
10232,MSLN,mesothelin,protein-coding,1.1572860743881526,1.1572860743881526
29125,C11orf21,chromosome 11 open reading frame 21,protein-coding,-1.1566684756409693,1.1566684756409693
27344,PCSK1N,proprotein convertase subtilisin/kexin type 1 inhibitor,protein-coding,-1.1436955058620537,1.1436955058620537
91543,RSAD2,radical S-adenosyl methionine domain containing 2,protein-coding,-1.1378045551100424,1.1378045551100424
9022,CLIC3,chloride intracellular channel 3,protein-coding,-1.1316768261994479,1.1316768261994479
