GeneID,Symbol,Description,GeneType,score,abs_score
212,ALAS2,5'-aminolevulinate synthase 2,protein-coding,-3.5493556967009803,3.5493556967009803
257101,ZNF683,zinc finger protein 683,protein-coding,-3.3966023967837824,3.3966023967837824
8991,SELENBP1,selenium binding protein 1,protein-coding,-2.870534642140628,2.870534642140628
383,ARG1,arginase 1,protein-coding,2.846851674132428,2.846851674132428
91947,ARRDC4,arrestin domain containing 4,protein-coding,2.748760066081772,2.748760066081772
389860,PAGE2B,PAGE family member 2B,protein-coding,-2.6889960898518814,2.6889960898518814
6285,S100B,S100 calcium binding protein B,protein-coding,-2.5883437711113078,2.5883437711113078
10158,PDZK1IP1,PDZK1 interacting protein 1,protein-coding,-2.5603436357148017,2.5603436357148017
6521,SLC4A1,solute carrier family 4 member 1 (Diego blood group),protein-coding,-2.535369305845312,2.535369305845312
10232,MSLN,mesothelin,protein-coding,-2.493069239865799,2.493069239865799
5004,ORM1,orosomucoid 1,protein-coding,2.4752940055653356,2.4752940055653356
2532,ACKR1,atypical chemokine receptor 1 (Duffy blood group),protein-coding,-2.437720444504703,2.437720444504703
10661,KLF1,KLF transcription factor 1,protein-coding,-2.382757881991566,2.382757881991566
5166,PDK4,pyruvate dehydrogenase kinase 4,protein-coding,2.375429169204545,2.375429169204545
54958,TMEM160,transmembrane protein 160,protein-coding,-2.36185087926196,2.36185087926196
2999,GZMH,granzyme H,protein-coding,-2.308748894757264,2.308748894757264
220001,VWCE,von Willebrand factor C and EGF domains,protein-coding,-2.3059559279738227,2.3059559279738227
171586,ABHD3,"abhydrolase domain containing 3, phospholipase",protein-coding,2.301131958220542,2.301131958220542
51629,SLC25A39,solute carrier family 25 member 39,protein-coding,-2.30048398882829,2.30048398882829
2150,F2RL1,F2R like trypsin receptor 1,protein-coding,2.2930682643607034,2.2930682643607034
3012,H2AC8,H2A clustered histone 8,protein-coding,-2.2921263854997025,2.2921263854997025
284422,SMIM24,small integral membrane protein 24,protein-coding,-2.2759576442367146,2.2759576442367146
6102,RP2,RP2 activator of ARL3 GTPase,protein-coding,2.2404939512719393,2.2404939512719393
388564,TMEM238,transmembrane protein 238,protein-coding,-2.2338487823273776,2.2338487823273776
