GeneID,Symbol,Description,GeneType,score,abs_score
3048,HBG2,hemoglobin subunit gamma 2,protein-coding,-3.3075647378421196,3.3075647378421196
3957,LGALS2,galectin 2,protein-coding,-3.248146906417639,3.248146906417639
3050,HBZ,hemoglobin subunit zeta,protein-coding,2.841132513702314,2.841132513702314
3047,HBG1,hemoglobin subunit gamma 1,protein-coding,-2.8249064454329336,2.8249064454329336
7850,IL1R2,interleukin 1 receptor type 2,protein-coding,2.6849293366097533,2.6849293366097533
1668,DEFA3,defensin alpha 3,protein-coding,2.649606591049181,2.649606591049181
3945,LDHB,lactate dehydrogenase B,protein-coding,-2.632826512888808,2.632826512888808
566,AZU1,azurocidin 1,protein-coding,2.6239542818458603,2.6239542818458603
728358,DEFA1B,defensin alpha 1B,protein-coding,2.6075487877772927,2.6075487877772927
1667,DEFA1,defensin alpha 1,protein-coding,2.5610102997604063,2.5610102997604063
1991,ELANE,"elastase, neutrophil expressed",protein-coding,2.4895755848934193,2.4895755848934193
915,CD3D,CD3 delta subunit of T-cell receptor complex,protein-coding,-2.476458532947861,2.476458532947861
3127,HLA-DRB5,"major histocompatibility complex, class II, DR beta 5",protein-coding,-2.4468547643612895,2.4468547643612895
1236,CCR7,C-C motif chemokine receptor 7,protein-coding,-2.3601352867627217,2.3601352867627217
4118,MAL,"mal, T cell differentiation protein",protein-coding,-2.3588307849892414,2.3588307849892414
1669,DEFA4,defensin alpha 4,protein-coding,2.3534697580585,2.3534697580585
923,CD6,CD6 molecule,protein-coding,-2.3495350099793733,2.3495350099793733
8718,TNFRSF25,TNF receptor superfamily member 25,protein-coding,-2.3332107514578944,2.3332107514578944
6233,RPS27A,ribosomal protein S27a,protein-coding,-2.3129100539753975,2.3129100539753975
3934,LCN2,lipocalin 2,protein-coding,2.309667991029984,2.309667991029984
2289,FKBP5,FKBP prolyl isomerase 5,protein-coding,2.3050735138222094,2.3050735138222094
79746,ECHDC3,enoyl-CoA hydratase domain containing 3,protein-coding,2.2984876251041424,2.2984876251041424
8558,CDK10,cyclin dependent kinase 10,protein-coding,-2.291941116988032,2.291941116988032
22924,MAPRE3,microtubule associated protein RP/EB family member 3,protein-coding,2.2463302364091327,2.2463302364091327
6133,RPL9,ribosomal protein L9,protein-coding,-2.2286773094482673,2.2286773094482673
