GeneID,Symbol,Description,GeneType,score,abs_score
3050,HBZ,hemoglobin subunit zeta,protein-coding,-8.460989378380567,8.460989378380567
3046,HBE1,hemoglobin subunit epsilon 1,protein-coding,-4.126090843802912,4.126090843802912
3048,HBG2,hemoglobin subunit gamma 2,protein-coding,-3.5098272502234145,3.5098272502234145
3118,HLA-DQA2,"major histocompatibility complex, class II, DQ alpha 2",protein-coding,-3.173640347122616,3.173640347122616
3047,HBG1,hemoglobin subunit gamma 1,protein-coding,-2.988821347121146,2.988821347121146
3120,HLA-DQB2,"major histocompatibility complex, class II, DQ beta 2",protein-coding,-2.7117117228942003,2.7117117228942003
100128071,FAM229A,family with sequence similarity 229 member A,protein-coding,-2.4204238418728274,2.4204238418728274
3957,LGALS2,galectin 2,protein-coding,-2.3536636538020987,2.3536636538020987
11007,CCDC85B,coiled-coil domain containing 85B,protein-coding,-2.33426622952668,2.33426622952668
1052,CEBPD,CCAAT enhancer binding protein delta,protein-coding,-2.2480215975072646,2.2480215975072646
9997,SCO2,synthesis of cytochrome C oxidase 2,protein-coding,-2.240427862299451,2.240427862299451
28959,TMEM176B,transmembrane protein 176B,protein-coding,-2.2327230081686014,2.2327230081686014
9022,CLIC3,chloride intracellular channel 3,protein-coding,-2.1667300533809244,2.1667300533809244
55365,TMEM176A,transmembrane protein 176A,protein-coding,-2.1010892522046167,2.1010892522046167
56654,NPDC1,"neural proliferation, differentiation and control 1",protein-coding,-2.086981629980114,2.086981629980114
9636,ISG15,ISG15 ubiquitin like modifier,protein-coding,-2.081620600982816,2.081620600982816
4069,LYZ,lysozyme,protein-coding,-2.0530602632556825,2.0530602632556825
2537,IFI6,interferon alpha inducible protein 6,protein-coding,-2.0290915466732944,2.0290915466732944
57535,ELAPOR1,endosome-lysosome associated apoptosis and autophagy regulator 1,protein-coding,-2.0206028926747286,2.0206028926747286
51282,SCAND1,SCAN domain containing 1,protein-coding,-2.0149236084417788,2.0149236084417788
29802,VPREB3,V-set pre-B cell surrogate light chain 3,protein-coding,-1.9041488592318139,1.9041488592318139
