GeneID,Symbol,Description,GeneType,score,abs_score
3050,HBZ,hemoglobin subunit zeta,protein-coding,-7.979653824167995,7.979653824167995
6192,RPS4Y1,ribosomal protein S4 Y-linked 1,protein-coding,-5.100265676196496,5.100265676196496
1675,CFD,complement factor D,protein-coding,-4.215764186645031,4.215764186645031
3046,HBE1,hemoglobin subunit epsilon 1,protein-coding,-3.661246787115206,3.661246787115206
11007,CCDC85B,coiled-coil domain containing 85B,protein-coding,-3.012169111729993,3.012169111729993
28959,TMEM176B,transmembrane protein 176B,protein-coding,-2.893001878535158,2.893001878535158
55365,TMEM176A,transmembrane protein 176A,protein-coding,-2.870690765943439,2.870690765943439
3042,HBM,hemoglobin subunit mu,protein-coding,-2.643622600809961,2.643622600809961
3120,HLA-DQB2,"major histocompatibility complex, class II, DQ beta 2",protein-coding,-2.6415559931107317,2.6415559931107317
722,C4BPA,complement component 4 binding protein alpha,protein-coding,2.594623526916576,2.594623526916576
100128071,FAM229A,family with sequence similarity 229 member A,protein-coding,-2.4211498827441282,2.4211498827441282
9997,SCO2,synthesis of cytochrome C oxidase 2,protein-coding,-2.3835005786418693,2.3835005786418693
4282,MIF,macrophage migration inhibitory factor,protein-coding,-2.319629898520148,2.319629898520148
931,MS4A1,membrane spanning 4-domains A1,protein-coding,2.317889961411869,2.317889961411869
51282,SCAND1,SCAN domain containing 1,protein-coding,-2.1509074454458963,2.1509074454458963
3049,HBQ1,hemoglobin subunit theta 1,protein-coding,-2.150345811751715,2.150345811751715
54958,TMEM160,transmembrane protein 160,protein-coding,-2.1283458553329675,2.1283458553329675
91978,TPGS1,tubulin polyglutamylase complex subunit 1,protein-coding,-2.1005122138505423,2.1005122138505423
9636,ISG15,ISG15 ubiquitin like modifier,protein-coding,-2.0940371195522123,2.0940371195522123
2123,EVI2A,ecotropic viral integration site 2A,protein-coding,2.0668180549300312,2.0668180549300312
5997,RGS2,regulator of G protein signaling 2,protein-coding,2.045322221054506,2.045322221054506
2812,GP1BB,glycoprotein Ib platelet subunit beta,protein-coding,-2.0446922059043784,2.0446922059043784
140465,MYL6B,myosin light chain 6B,protein-coding,2.025807964740569,2.025807964740569
3646,EIF3E,eukaryotic translation initiation factor 3 subunit E,protein-coding,2.0243292650523785,2.0243292650523785
8763,CD164,CD164 molecule,protein-coding,2.014174195455837,2.014174195455837
10135,NAMPT,nicotinamide phosphoribosyltransferase,protein-coding,2.0139593133919296,2.0139593133919296
8813,DPM1,"dolichyl-phosphate mannosyltransferase subunit 1, catalytic",protein-coding,2.0081183071148607,2.0081183071148607
1667,DEFA1,defensin alpha 1,protein-coding,-1.9985197757549689,1.9985197757549689
3119,HLA-DQB1,"major histocompatibility complex, class II, DQ beta 1",protein-coding,1.9943824070753988,1.9943824070753988
2738,GLI4,GLI family zinc finger 4,protein-coding,-1.9934474357366783,1.9934474357366783
6201,RPS7,ribosomal protein S7,protein-coding,1.987183842785456,1.987183842785456
9488,PIGB,phosphatidylinositol glycan anchor biosynthesis class B,protein-coding,1.9749258126335858,1.9749258126335858
301,ANXA1,annexin A1,protein-coding,1.9728370231026868,1.9728370231026868
6189,RPS3A,ribosomal protein S3A,protein-coding,1.959622941271163,1.959622941271163
168537,GIMAP7,"GTPase, IMAP family member 7",protein-coding,1.9588157526767014,1.9588157526767014
440836,ODF3B,outer dense fiber of sperm tails 3B,protein-coding,-1.9528039814090485,1.9528039814090485
728358,DEFA1B,defensin alpha 1B,protein-coding,-1.951665617398555,1.951665617398555
830,CAPZA2,capping actin protein of muscle Z-line subunit alpha 2,protein-coding,1.9392957833870723,1.9392957833870723
4179,CD46,CD46 molecule,protein-coding,1.9384836853500726,1.9384836853500726
126119,JOSD2,Josephin domain containing 2,protein-coding,-1.9282589013332638,1.9282589013332638
383,ARG1,arginase 1,protein-coding,1.9238222102598523,1.9238222102598523
513,ATP5F1D,ATP synthase F1 subunit delta,protein-coding,-1.9139233472758597,1.9139233472758597
54923,LIME1,Lck interacting transmembrane adaptor 1,protein-coding,-1.904338020003666,1.904338020003666
58486,ZBED5,zinc finger BED-type containing 5,protein-coding,1.897351057245125,1.897351057245125
1195,CLK1,CDC like kinase 1,protein-coding,1.890187013607311,1.890187013607311
64407,RGS18,regulator of G protein signaling 18,protein-coding,1.8688841304622632,1.8688841304622632
60675,PROK2,prokineticin 2,protein-coding,1.8671767449740126,1.8671767449740126
57561,ARRDC3,arrestin domain containing 3,protein-coding,1.8458361064115112,1.8458361064115112
79176,FBXL15,F-box and leucine rich repeat protein 15,protein-coding,-1.8403186482351455,1.8403186482351455
138307,LCN8,lipocalin 8,protein-coding,1.8402877125804329,1.8402877125804329
3117,HLA-DQA1,"major histocompatibility complex, class II, DQ alpha 1",protein-coding,1.8400853981621272,1.8400853981621272
100526842,RPL17-C18orf32,RPL17-C18orf32 readthrough,protein-coding,1.834446318996831,1.834446318996831
2790,GNG10,G protein subunit gamma 10,protein-coding,1.8343802822095432,1.8343802822095432
6139,RPL17,ribosomal protein L17,protein-coding,1.829100096323232,1.829100096323232
7913,DEK,DEK proto-oncogene,protein-coding,1.8268074163638686,1.8268074163638686
65056,GPBP1,GC-rich promoter binding protein 1,protein-coding,1.8237911540695555,1.8237911540695555
3039,HBA1,hemoglobin subunit alpha 1,protein-coding,-1.819009797059061,1.819009797059061
23471,TRAM1,translocation associated membrane protein 1,protein-coding,1.817981627304926,1.817981627304926
50852,TRAT1,T cell receptor associated transmembrane adaptor 1,protein-coding,1.8178819225788514,1.8178819225788514
3945,LDHB,lactate dehydrogenase B,protein-coding,1.8157238511767577,1.8157238511767577
120,ADD3,adducin 3,protein-coding,1.815704566820005,1.815704566820005
1933,EEF1B2,eukaryotic translation elongation factor 1 beta 2,protein-coding,1.815392241123022,1.815392241123022
1974,EIF4A2,eukaryotic translation initiation factor 4A2,protein-coding,1.812988711051543,1.812988711051543
9782,MATR3,matrin 3,protein-coding,1.810246438295399,1.810246438295399
10875,FGL2,fibrinogen like 2,protein-coding,1.803246107029527,1.803246107029527
10914,PAPOLA,poly(A) polymerase alpha,protein-coding,1.8021859379079366,1.8021859379079366
552891,DNAJC25-GNG10,DNAJC25-GNG10 readthrough,protein-coding,1.8013758895097904,1.8013758895097904
5552,SRGN,serglycin,protein-coding,1.8001464330979644,1.8001464330979644
55194,EVA1B,eva-1 homolog B,protein-coding,-1.7975983904896884,1.7975983904896884
10559,SLC35A1,solute carrier family 35 member A1,protein-coding,1.7958891936657995,1.7958891936657995
6386,SDCBP,syndecan binding protein,protein-coding,1.7869642758096191,1.7869642758096191
