GeneID,Symbol,Description,GeneType,score,abs_score
6192,RPS4Y1,ribosomal protein S4 Y-linked 1,protein-coding,-5.100265676196496,5.100265676196496
9636,ISG15,ISG15 ubiquitin like modifier,protein-coding,3.526026684105187,3.526026684105187
2537,IFI6,interferon alpha inducible protein 6,protein-coding,3.3290766243959267,3.3290766243959267
6614,SIGLEC1,sialic acid binding Ig like lectin 1,protein-coding,3.2765391213618598,3.2765391213618598
4938,OAS1,2'-5'-oligoadenylate synthetase 1,protein-coding,3.259779196453128,3.259779196453128
4599,MX1,MX dynamin like GTPase 1,protein-coding,3.20605332921766,3.20605332921766
6286,S100P,S100 calcium binding protein P,protein-coding,-3.2060510931103408,3.2060510931103408
4061,LY6E,lymphocyte antigen 6 family member E,protein-coding,3.1754832480310786,3.1754832480310786
91543,RSAD2,radical S-adenosyl methionine domain containing 2,protein-coding,2.9755864840436184,2.9755864840436184
4940,OAS3,2'-5'-oligoadenylate synthetase 3,protein-coding,2.9610004425258856,2.9610004425258856
8638,OASL,2'-5'-oligoadenylate synthetase like,protein-coding,2.9112922740095657,2.9112922740095657
3434,IFIT1,interferon induced protein with tetratricopeptide repeats 1,protein-coding,2.9048918073644745,2.9048918073644745
3437,IFIT3,interferon induced protein with tetratricopeptide repeats 3,protein-coding,2.688036798740688,2.688036798740688
4939,OAS2,2'-5'-oligoadenylate synthetase 2,protein-coding,2.583849232596841,2.583849232596841
3728,JUP,junction plakoglobin,protein-coding,2.558769925454875,2.558769925454875
710,SERPING1,serpin family G member 1,protein-coding,2.5463917512001366,2.5463917512001366
3047,HBG1,hemoglobin subunit gamma 1,protein-coding,-2.4980591355624564,2.4980591355624564
10964,IFI44L,interferon induced protein 44 like,protein-coding,2.4905563895709513,2.4905563895709513
3048,HBG2,hemoglobin subunit gamma 2,protein-coding,-2.416559064307019,2.416559064307019
51191,HERC5,HECT and RLD domain containing E3 ubiquitin protein ligase 5,protein-coding,2.3976429638370336,2.3976429638370336
3665,IRF7,interferon regulatory factor 7,protein-coding,2.3894750467792267,2.3894750467792267
2352,FOLR3,folate receptor gamma,protein-coding,2.3807314950008966,2.3807314950008966
89941,RHOT2,ras homolog family member T2,protein-coding,2.3085526872417206,2.3085526872417206
3050,HBZ,hemoglobin subunit zeta,protein-coding,2.3064886071740522,2.3064886071740522
8685,MARCO,macrophage receptor with collagenous structure,protein-coding,2.2642020970302106,2.2642020970302106
54739,XAF1,XIAP associated factor 1,protein-coding,2.218478749573748,2.218478749573748
433,ASGR2,asialoglycoprotein receptor 2,protein-coding,2.128501165262706,2.128501165262706
3965,LGALS9,galectin 9,protein-coding,2.0670404918123304,2.0670404918123304
3430,IFI35,interferon induced protein 35,protein-coding,2.0620904864343554,2.0620904864343554
440836,ODF3B,outer dense fiber of sperm tails 3B,protein-coding,2.039221139613407,2.039221139613407
283849,EXOC3L1,exocyst complex component 3 like 1,protein-coding,2.0098834809408737,2.0098834809408737
9997,SCO2,synthesis of cytochrome C oxidase 2,protein-coding,1.9807479101222145,1.9807479101222145
933,CD22,CD22 molecule,protein-coding,-1.9738634441958323,1.9738634441958323
94240,EPSTI1,epithelial stromal interaction 1,protein-coding,1.9523567773177328,1.9523567773177328
931,MS4A1,membrane spanning 4-domains A1,protein-coding,-1.948622569135137,1.948622569135137
4502,MT2A,metallothionein 2A,protein-coding,1.9160809698949257,1.9160809698949257
129607,CMPK2,cytidine/uridine monophosphate kinase 2,protein-coding,1.9093007235039297,1.9093007235039297
930,CD19,CD19 molecule,protein-coding,-1.8828773478203424,1.8828773478203424
11277,TREX1,three prime repair exonuclease 1,protein-coding,1.8746479367972728,1.8746479367972728
