GeneID,Symbol,Description,GeneType,score,abs_score
388588,SMIM1,small integral membrane protein 1 (Vel blood group),protein-coding,-2.9866066122093313,2.9866066122093313
3809,KIR2DS4,"killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4",protein-coding,-2.886234619136207,2.886234619136207
9172,MYOM2,myomesin 2,protein-coding,-2.481993886456304,2.481993886456304
3067,HDC,histidine decarboxylase,protein-coding,-2.4144561302555543,2.4144561302555543
10917,BTNL3,butyrophilin like 3,protein-coding,-2.3281211486377993,2.3281211486377993
5197,PF4V1,platelet factor 4 variant 1,protein-coding,-2.3075880252997765,2.3075880252997765
27344,PCSK1N,proprotein convertase subtilisin/kexin type 1 inhibitor,protein-coding,-2.240610082613672,2.240610082613672
722,C4BPA,complement component 4 binding protein alpha,protein-coding,2.226258314593724,2.226258314593724
10232,MSLN,mesothelin,protein-coding,-2.222459279248656,2.222459279248656
3957,LGALS2,galectin 2,protein-coding,2.0183063606022023,2.0183063606022023
2624,GATA2,GATA binding protein 2,protein-coding,-2.0160969145295127,2.0160969145295127
4833,NME4,NME/NM23 nucleoside diphosphate kinase 4,protein-coding,1.9679562293379151,1.9679562293379151
3117,HLA-DQA1,"major histocompatibility complex, class II, DQ alpha 1",protein-coding,-1.9638331284128772,1.9638331284128772
257101,ZNF683,zinc finger protein 683,protein-coding,-1.956763176869404,1.956763176869404
3119,HLA-DQB1,"major histocompatibility complex, class II, DQ beta 1",protein-coding,-1.823110164202052,1.823110164202052
3681,ITGAD,integrin subunit alpha D,protein-coding,1.8039082794699508,1.8039082794699508
4824,NKX3-1,NK3 homeobox 1,protein-coding,-1.7934977052501246,1.7934977052501246
440270,GOLGA8B,golgin A8 family member B,protein-coding,-1.7884835269470547,1.7884835269470547
89858,SIGLEC12,sialic acid binding Ig like lectin 12,protein-coding,1.7800757874565696,1.7800757874565696
100129216,DEFB131B,defensin beta 131B,protein-coding,1.7501124916702924,1.7501124916702924
1359,CPA3,carboxypeptidase A3,protein-coding,-1.7362631923329843,1.7362631923329843
92304,SCGB3A1,secretoglobin family 3A member 1,protein-coding,-1.6847927887287895,1.6847927887287895
2205,FCER1A,Fc epsilon receptor Ia,protein-coding,-1.654037382929797,1.654037382929797
138307,LCN8,lipocalin 8,protein-coding,-1.6440075571311379,1.6440075571311379
3848,KRT1,keratin 1,protein-coding,1.5841585006407664,1.5841585006407664
266727,MDGA1,MAM domain containing glycosylphosphatidylinositol anchor 1,protein-coding,-1.556796829966341,1.556796829966341
147798,TMC4,transmembrane channel like 4,protein-coding,-1.5526785800656921,1.5526785800656921
6799,SULT1A2,sulfotransferase family 1A member 2,protein-coding,1.5487798155629204,1.5487798155629204
400668,PRSS57,serine protease 57,protein-coding,-1.5084016540793963,1.5084016540793963
3118,HLA-DQA2,"major histocompatibility complex, class II, DQ alpha 2",protein-coding,-1.5059278778132077,1.5059278778132077
165530,CLEC4F,C-type lectin domain family 4 member F,protein-coding,-1.5048516255275242,1.5048516255275242
9086,EIF1AY,eukaryotic translation initiation factor 1A Y-linked,protein-coding,1.4744082835700274,1.4744082835700274
105369787,LOC105369787,endogenous retrovirus group K member 21 Env polyprotein,protein-coding,1.4712395410356525,1.4712395410356525
3811,KIR3DL1,"killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1",protein-coding,-1.4461488054297216,1.4461488054297216
27065,NSG1,neuronal vesicle trafficking associated 1,protein-coding,-1.4216391396856787,1.4216391396856787
765,CA6,carbonic anhydrase 6,protein-coding,-1.4209867114269612,1.4209867114269612
8357,H3C10,H3 clustered histone 10,protein-coding,-1.395722894186976,1.395722894186976
3135,HLA-G,"major histocompatibility complex, class I, G",protein-coding,1.3685696694828482,1.3685696694828482
8348,H2BC17,H2B clustered histone 17,protein-coding,-1.3560178771650089,1.3560178771650089
10990,LILRB5,leukocyte immunoglobulin like receptor B5,protein-coding,1.3488613441691166,1.3488613441691166
3240,HP,haptoglobin,protein-coding,1.346412518210735,1.346412518210735
5819,NECTIN2,nectin cell adhesion molecule 2,protein-coding,-1.33124436311118,1.33124436311118
116173,CMTM5,CKLF like MARVEL transmembrane domain containing 5,protein-coding,-1.327308707800865,1.327308707800865
80326,WNT10A,Wnt family member 10A,protein-coding,-1.325668795413494,1.325668795413494
2815,GP9,glycoprotein IX platelet,protein-coding,-1.3190972050466077,1.3190972050466077
3816,KLK1,kallikrein 1,protein-coding,-1.305677938479987,1.305677938479987
55258,THNSL2,threonine synthase like 2,protein-coding,1.3041376539319758,1.3041376539319758
414062,CCL3L3,C-C motif chemokine ligand 3 like 3,protein-coding,-1.2907898189640665,1.2907898189640665
91978,TPGS1,tubulin polyglutamylase complex subunit 1,protein-coding,-1.2608387527628526,1.2608387527628526
9415,FADS2,fatty acid desaturase 2,protein-coding,-1.2607223401719487,1.2607223401719487
112703,GARIN5A,golgi associated RAB2 interactor 5A,protein-coding,-1.257559631877872,1.257559631877872
7140,TNNT3,"troponin T3, fast skeletal type",protein-coding,1.2479262561669702,1.2479262561669702
6374,CXCL5,C-X-C motif chemokine ligand 5,protein-coding,-1.2398801802255324,1.2398801802255324
57156,TMEM63C,transmembrane protein 63C,protein-coding,1.2352890300203665,1.2352890300203665
710,SERPING1,serpin family G member 1,protein-coding,-1.2319356810971913,1.2319356810971913
51226,COPZ2,COPI coat complex subunit zeta 2,protein-coding,-1.2309184852475539,1.2309184852475539
100128071,FAM229A,family with sequence similarity 229 member A,protein-coding,-1.230438977120172,1.230438977120172
566,AZU1,azurocidin 1,protein-coding,1.2242385667718942,1.2242385667718942
954,ENTPD2,ectonucleoside triphosphate diphosphohydrolase 2,protein-coding,-1.2188791000778891,1.2188791000778891
117145,THEM4,thioesterase superfamily member 4,protein-coding,-1.2174636134710746,1.2174636134710746
383,ARG1,arginase 1,protein-coding,1.2160887149749617,1.2160887149749617
51176,LEF1,lymphoid enhancer binding factor 1,protein-coding,-1.2026601684311442,1.2026601684311442
2812,GP1BB,glycoprotein Ib platelet subunit beta,protein-coding,-1.1963171715917744,1.1963171715917744
2615,LRRC32,leucine rich repeat containing 32,protein-coding,-1.1922992636227636,1.1922992636227636
2944,GSTM1,glutathione S-transferase mu 1,protein-coding,1.1896559875001285,1.1896559875001285
2162,F13A1,coagulation factor XIII A chain,protein-coding,-1.1850211636769785,1.1850211636769785
1346,COX7A1,cytochrome c oxidase subunit 7A1,protein-coding,1.1778000719159272,1.1778000719159272
79652,TMEM204,transmembrane protein 204,protein-coding,-1.1748747890764486,1.1748747890764486
340205,TREML1,triggering receptor expressed on myeloid cells like 1,protein-coding,-1.169611214355837,1.169611214355837
1475,CSTA,cystatin A,protein-coding,1.1672388712822417,1.1672388712822417
928,CD9,CD9 molecule,protein-coding,-1.1581971987840984,1.1581971987840984
4694,NDUFA1,NADH:ubiquinone oxidoreductase subunit A1,protein-coding,1.140386505427996,1.140386505427996
57124,CD248,CD248 molecule,protein-coding,-1.1399155787972264,1.1399155787972264
22895,RPH3A,rabphilin 3A,protein-coding,-1.1329229599889439,1.1329229599889439
6279,S100A8,S100 calcium binding protein A8,protein-coding,1.1315199700064582,1.1315199700064582
85414,SLC45A3,solute carrier family 45 member 3,protein-coding,-1.1299762193848526,1.1299762193848526
7177,TPSAB1,tryptase alpha/beta 1,protein-coding,-1.1270276864378121,1.1270276864378121
5657,PRTN3,proteinase 3,protein-coding,1.122952162336556,1.122952162336556
388650,DIPK1A,divergent protein kinase domain 1A,protein-coding,-1.1187206483424026,1.1187206483424026
6940,ZNF354A,zinc finger protein 354A,protein-coding,1.1161367365702666,1.1161367365702666
10942,PRSS21,serine protease 21,protein-coding,-1.115159915995717,1.115159915995717
83999,KREMEN1,kringle containing transmembrane protein 1,protein-coding,-1.1070399586366364,1.1070399586366364
28959,TMEM176B,transmembrane protein 176B,protein-coding,1.1067747758123037,1.1067747758123037
81027,TUBB1,tubulin beta 1 class VI,protein-coding,-1.1066034729869996,1.1066034729869996
2848,GPR25,G protein-coupled receptor 25,protein-coding,-1.103979399062067,1.103979399062067
1622,DBI,"diazepam binding inhibitor, acyl-CoA binding protein",protein-coding,1.1024433560002187,1.1024433560002187
91543,RSAD2,radical S-adenosyl methionine domain containing 2,protein-coding,-1.1017885375929293,1.1017885375929293
84680,ACCS,1-aminocyclopropane-1-carboxylate synthase homolog (inactive),protein-coding,1.1004984553557406,1.1004984553557406
91283,MSANTD3,Myb/SANT DNA binding domain containing 3,protein-coding,-1.0997266139345419,1.0997266139345419
8361,H4C6,H4 clustered histone 6,protein-coding,1.0973162416009825,1.0973162416009825
1668,DEFA3,defensin alpha 3,protein-coding,1.0965162650247886,1.0965162650247886
284486,THEM5,thioesterase superfamily member 5,protein-coding,-1.0904105046768595,1.0904105046768595
5460,POU5F1,POU class 5 homeobox 1,protein-coding,1.0894435385878403,1.0894435385878403
84417,ECRG4,ECRG4 augurin precursor,protein-coding,-1.0830179497054813,1.0830179497054813
8969,H2AC11,H2A clustered histone 11,protein-coding,-1.0819296623325056,1.0819296623325056
374454,KRT77,keratin 77,protein-coding,1.072775445003309,1.072775445003309
93979,CPA5,carboxypeptidase A5,protein-coding,-1.0704896958096195,1.0704896958096195
400566,C17orf97,chromosome 17 open reading frame 97,protein-coding,-1.068562432056941,1.068562432056941
3250,HPR,haptoglobin-related protein,protein-coding,1.0665651459244392,1.0665651459244392
6051,RNPEP,arginyl aminopeptidase,protein-coding,-1.0638694601495617,1.0638694601495617
1366,CLDN7,claudin 7,protein-coding,-1.062239013482663,1.062239013482663
116211,TM4SF19,transmembrane 4 L six family member 19,protein-coding,-1.0620578040717847,1.0620578040717847
1636,ACE,angiotensin I converting enzyme,protein-coding,-1.0570846497710753,1.0570846497710753
8345,H2BC9,H2B clustered histone 9,protein-coding,-1.0536816280280101,1.0536816280280101
440567,UQCRHL,ubiquinol-cytochrome c reductase hinge protein like,protein-coding,1.0479928610996572,1.0479928610996572
7123,CLEC3B,C-type lectin domain family 3 member B,protein-coding,1.0437622558989663,1.0437622558989663
80740,LY6G6C,lymphocyte antigen 6 family member G6C,protein-coding,-1.0429038565715276,1.0429038565715276
100423062,IGLL5,immunoglobulin lambda like polypeptide 5,protein-coding,-1.0405213980800605,1.0405213980800605
2324,FLT4,fms related receptor tyrosine kinase 4,protein-coding,-1.0351535658400564,1.0351535658400564
55509,BATF3,basic leucine zipper ATF-like transcription factor 3,protein-coding,1.0347446072543307,1.0347446072543307
643418,LIPN,lipase family member N,protein-coding,1.0342962624603345,1.0342962624603345
10744,PTTG2,pituitary tumor-transforming 2,protein-coding,1.0334403713366231,1.0334403713366231
653784,MZT2A,mitotic spindle organizing protein 2A,protein-coding,-1.0317936227962081,1.0317936227962081
25907,TMEM158,transmembrane protein 158,protein-coding,-1.0291916020127427,1.0291916020127427
6678,SPARC,secreted protein acidic and cysteine rich,protein-coding,-1.0248863648216424,1.0248863648216424
1191,CLU,clusterin,protein-coding,-1.0236303486823792,1.0236303486823792
6543,SLC8A2,solute carrier family 8 member A2,protein-coding,-1.0230623743244356,1.0230623743244356
170487,ACTL10,actin like 10,protein-coding,-1.0199408838492758,1.0199408838492758
6283,S100A12,S100 calcium binding protein A12,protein-coding,1.0199233158891108,1.0199233158891108
474170,LRRC37A2,leucine rich repeat containing 37 member A2,protein-coding,-1.0197219889180507,1.0197219889180507
50486,G0S2,G0/G1 switch 2,protein-coding,1.017155919519015,1.017155919519015
7755,ZNF205,zinc finger protein 205,protein-coding,-1.0118326347457305,1.0118326347457305
6948,TCN2,transcobalamin 2,protein-coding,1.0096360823585453,1.0096360823585453
7138,TNNT1,"troponin T1, slow skeletal type",protein-coding,-1.0073262765194984,1.0073262765194984
55365,TMEM176A,transmembrane protein 176A,protein-coding,1.0068409597325014,1.0068409597325014
1164,CKS2,CDC28 protein kinase regulatory subunit 2,protein-coding,1.0060883798681794,1.0060883798681794
6037,RNASE3,ribonuclease A family member 3,protein-coding,1.0034071230630095,1.0034071230630095
94274,PPP1R14A,protein phosphatase 1 regulatory inhibitor subunit 14A,protein-coding,-0.9987352844002894,0.9987352844002894
51338,MS4A4A,membrane spanning 4-domains A4A,protein-coding,0.9979795273408913,0.9979795273408913
8970,H2BC11,H2B clustered histone 11,protein-coding,-0.9890855353522389,0.9890855353522389
728358,DEFA1B,defensin alpha 1B,protein-coding,0.9883350653483,0.9883350653483
84324,SARNP,SAP domain containing ribonucleoprotein,protein-coding,0.9860316113725223,0.9860316113725223
6441,SFTPD,surfactant protein D,protein-coding,0.9849545067591108,0.9849545067591108
51233,DRICH1,aspartate rich 1,protein-coding,0.9840076445887823,0.9840076445887823
200958,MUC20,"mucin 20, cell surface associated",protein-coding,-0.9808250730668406,0.9808250730668406
7122,CLDN5,claudin 5,protein-coding,-0.980197227047934,0.980197227047934
671,BPI,bactericidal permeability increasing protein,protein-coding,0.9793275240575671,0.9793275240575671
521,ATP5ME,ATP synthase membrane subunit e,protein-coding,0.9743044069211646,0.9743044069211646
