GeneID,Symbol,Description,GeneType,score,abs_score
3050,HBZ,hemoglobin subunit zeta,protein-coding,-7.9405260351547335,7.9405260351547335
3046,HBE1,hemoglobin subunit epsilon 1,protein-coding,-4.651257689176107,4.651257689176107
3118,HLA-DQA2,"major histocompatibility complex, class II, DQ alpha 2",protein-coding,-2.727031980012736,2.727031980012736
3120,HLA-DQB2,"major histocompatibility complex, class II, DQ beta 2",protein-coding,-2.7117117228942003,2.7117117228942003
3047,HBG1,hemoglobin subunit gamma 1,protein-coding,-2.571485464305546,2.571485464305546
3048,HBG2,hemoglobin subunit gamma 2,protein-coding,-2.157346369425634,2.157346369425634
414062,CCL3L3,C-C motif chemokine ligand 3 like 3,protein-coding,2.0536296791162307,2.0536296791162307
388588,SMIM1,small integral membrane protein 1 (Vel blood group),protein-coding,-2.0247713196827446,2.0247713196827446
1675,CFD,complement factor D,protein-coding,-1.9811919121229107,1.9811919121229107
3119,HLA-DQB1,"major histocompatibility complex, class II, DQ beta 1",protein-coding,1.9643447304125943,1.9643447304125943
140807,KRT72,keratin 72,protein-coding,1.9485082118658343,1.9485082118658343
10158,PDZK1IP1,PDZK1 interacting protein 1,protein-coding,-1.8821550656785782,1.8821550656785782
23495,TNFRSF13B,TNF receptor superfamily member 13B,protein-coding,1.6969747750373385,1.6969747750373385
6231,RPS26,ribosomal protein S26,protein-coding,-1.512284309432915,1.512284309432915
54855,TENT5C,terminal nucleotidyltransferase 5C,protein-coding,-1.481029692053392,1.481029692053392
654346,LGALS9C,galectin 9C,protein-coding,1.450994981570019,1.450994981570019
137797,LYPD2,LY6/PLAUR domain containing 2,protein-coding,-1.438479807812359,1.438479807812359
3934,LCN2,lipocalin 2,protein-coding,1.4077927157731909,1.4077927157731909
5004,ORM1,orosomucoid 1,protein-coding,-1.3886541811106294,1.3886541811106294
81796,SLCO5A1,solute carrier organic anion transporter family member 5A1,protein-coding,-1.375222626523513,1.375222626523513
93979,CPA5,carboxypeptidase A5,protein-coding,1.3471361326737,1.3471361326737
10570,DPYSL4,dihydropyrimidinase like 4,protein-coding,1.3435551062711069,1.3435551062711069
3042,HBM,hemoglobin subunit mu,protein-coding,-1.339076584150835,1.339076584150835
246,ALOX15,arachidonate 15-lipoxygenase,protein-coding,-1.3363472106187622,1.3363472106187622
2999,GZMH,granzyme H,protein-coding,-1.3054038741804395,1.3054038741804395
55007,FAM118A,family with sequence similarity 118 member A,protein-coding,1.294161308892606,1.294161308892606
3117,HLA-DQA1,"major histocompatibility complex, class II, DQ alpha 1",protein-coding,1.2940418867332737,1.2940418867332737
8284,KDM5D,lysine demethylase 5D,protein-coding,1.2778038294019776,1.2778038294019776
2352,FOLR3,folate receptor gamma,protein-coding,-1.2703307669600243,1.2703307669600243
971,CD72,CD72 molecule,protein-coding,1.2598250573139607,1.2598250573139607
100130520,CD300H,CD300H molecule (gene/pseudogene),protein-coding,1.2405048578624225,1.2405048578624225
83416,FCRL5,Fc receptor like 5,protein-coding,1.2384141257039836,1.2384141257039836
257101,ZNF683,zinc finger protein 683,protein-coding,-1.2251383519455623,1.2251383519455623
3127,HLA-DRB5,"major histocompatibility complex, class II, DR beta 5",protein-coding,1.2094028918131883,1.2094028918131883
4057,LTF,lactotransferrin,protein-coding,1.202202528438934,1.202202528438934
8365,H4C8,H4 clustered histone 8,protein-coding,-1.185845429507857,1.185845429507857
973,CD79A,CD79a molecule,protein-coding,1.1800031610674653,1.1800031610674653
8638,OASL,2'-5'-oligoadenylate synthetase like,protein-coding,-1.1627255216194177,1.1627255216194177
3957,LGALS2,galectin 2,protein-coding,1.1564505045695266,1.1564505045695266
10578,GNLY,granulysin,protein-coding,-1.153359188830108,1.153359188830108
