GeneID,Symbol,Description,GeneType,score,abs_score
9381,OTOF,otoferlin,protein-coding,4.870968807788402,4.870968807788402
91543,RSAD2,radical S-adenosyl methionine domain containing 2,protein-coding,3.7346777465450414,3.7346777465450414
3429,IFI27,interferon alpha inducible protein 27,protein-coding,3.7328338404803976,3.7328338404803976
6614,SIGLEC1,sialic acid binding Ig like lectin 1,protein-coding,3.4640609795015154,3.4640609795015154
9636,ISG15,ISG15 ubiquitin like modifier,protein-coding,3.4054781782065606,3.4054781782065606
27344,PCSK1N,proprotein convertase subtilisin/kexin type 1 inhibitor,protein-coding,-3.3241443733996765,3.3241443733996765
10964,IFI44L,interferon induced protein 44 like,protein-coding,3.3133281149686513,3.3133281149686513
4496,MT1H,metallothionein 1H,protein-coding,3.218476428962333,3.218476428962333
4061,LY6E,lymphocyte antigen 6 family member E,protein-coding,3.1533228833717772,3.1533228833717772
102723407,LOC102723407,immunoglobulin heavy variable 4-38-2-like,protein-coding,-3.1384492354213966,3.1384492354213966
4940,OAS3,2'-5'-oligoadenylate synthetase 3,protein-coding,3.035477563172243,3.035477563172243
3434,IFIT1,interferon induced protein with tetratricopeptide repeats 1,protein-coding,2.9847284264956304,2.9847284264956304
10561,IFI44,interferon induced protein 44,protein-coding,2.9679158911427663,2.9679158911427663
9172,MYOM2,myomesin 2,protein-coding,-2.9150689334413737,2.9150689334413737
2537,IFI6,interferon alpha inducible protein 6,protein-coding,2.7808065510509437,2.7808065510509437
8638,OASL,2'-5'-oligoadenylate synthetase like,protein-coding,2.7804301415833588,2.7804301415833588
11274,USP18,ubiquitin specific peptidase 18,protein-coding,2.757798156190918,2.757798156190918
710,SERPING1,serpin family G member 1,protein-coding,2.745803595943281,2.745803595943281
3437,IFIT3,interferon induced protein with tetratricopeptide repeats 3,protein-coding,2.7328486564731875,2.7328486564731875
4599,MX1,MX dynamin like GTPase 1,protein-coding,2.731075804295989,2.731075804295989
338773,TMEM119,transmembrane protein 119,protein-coding,2.641068050787232,2.641068050787232
129607,CMPK2,cytidine/uridine monophosphate kinase 2,protein-coding,2.5464920631630923,2.5464920631630923
255061,TAC4,tachykinin precursor 4,protein-coding,-2.523551157097207,2.523551157097207
116071,BATF2,basic leucine zipper ATF-like transcription factor 2,protein-coding,2.5026330287670726,2.5026330287670726
26519,TIMM10,translocase of inner mitochondrial membrane 10,protein-coding,2.4893305601744946,2.4893305601744946
94240,EPSTI1,epithelial stromal interaction 1,protein-coding,2.4842220996752062,2.4842220996752062
51191,HERC5,HECT and RLD domain containing E3 ubiquitin protein ligase 5,protein-coding,2.438761572278176,2.438761572278176
4938,OAS1,2'-5'-oligoadenylate synthetase 1,protein-coding,2.4118405852208653,2.4118405852208653
4939,OAS2,2'-5'-oligoadenylate synthetase 2,protein-coding,2.3965074653550116,2.3965074653550116
219537,SMTNL1,smoothelin like 1,protein-coding,2.313828196227853,2.313828196227853
440348,NPIPB15,nuclear pore complex interacting protein family member B15,protein-coding,-2.269482229182892,2.269482229182892
1511,CTSG,cathepsin G,protein-coding,-2.231165295628077,2.231165295628077
4502,MT2A,metallothionein 2A,protein-coding,2.2111772686056472,2.2111772686056472
388588,SMIM1,small integral membrane protein 1 (Vel blood group),protein-coding,-2.1846371874750625,2.1846371874750625
2624,GATA2,GATA binding protein 2,protein-coding,-2.174416156778768,2.174416156778768
54739,XAF1,XIAP associated factor 1,protein-coding,2.146684877995058,2.146684877995058
932,MS4A3,membrane spanning 4-domains A3,protein-coding,-2.1317955955741503,2.1317955955741503
116842,LEAP2,liver enriched antimicrobial peptide 2,protein-coding,-2.1220391811445403,2.1220391811445403
7177,TPSAB1,tryptase alpha/beta 1,protein-coding,-2.1154122751805917,2.1154122751805917
246,ALOX15,arachidonate 15-lipoxygenase,protein-coding,-2.0966791295838987,2.0966791295838987
6846,XCL2,X-C motif chemokine ligand 2,protein-coding,-2.075617279933252,2.075617279933252
57156,TMEM63C,transmembrane protein 63C,protein-coding,2.0645183461528864,2.0645183461528864
3430,IFI35,interferon induced protein 35,protein-coding,2.064044325697208,2.064044325697208
115650,TNFRSF13C,TNF receptor superfamily member 13C,protein-coding,-2.0596954239694734,2.0596954239694734
4824,NKX3-1,NK3 homeobox 1,protein-coding,-2.040514811787713,2.040514811787713
91978,TPGS1,tubulin polyglutamylase complex subunit 1,protein-coding,-2.0260934741840146,2.0260934741840146
51056,LAP3,leucine aminopeptidase 3,protein-coding,2.0178212868847663,2.0178212868847663
100128071,FAM229A,family with sequence similarity 229 member A,protein-coding,-2.0139665000515095,2.0139665000515095
64499,TPSB2,tryptase beta 2,protein-coding,-1.9881957915068673,1.9881957915068673
9623,TCL1B,TCL1 family AKT coactivator B,protein-coding,-1.9777332873617002,1.9777332873617002
3433,IFIT2,interferon induced protein with tetratricopeptide repeats 2,protein-coding,1.9728380971710409,1.9728380971710409
3959,LGALS3BP,galectin 3 binding protein,protein-coding,1.9362258971239101,1.9362258971239101
3811,KIR3DL1,"killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1",protein-coding,-1.9353943255406112,1.9353943255406112
3067,HDC,histidine decarboxylase,protein-coding,-1.929965163468632,1.929965163468632
57801,HES4,hes family bHLH transcription factor 4,protein-coding,1.9208020292406702,1.9208020292406702
722,C4BPA,complement component 4 binding protein alpha,protein-coding,1.9072374191486667,1.9072374191486667
79132,DHX58,DExH-box helicase 58,protein-coding,1.8937725162246581,1.8937725162246581
100133941,CD24,CD24 molecule,protein-coding,-1.8861223877819937,1.8861223877819937
6884,TAF13,TATA-box binding protein associated factor 13,protein-coding,-1.8758278740411038,1.8758278740411038
54877,ZCCHC2,zinc finger CCHC-type containing 2,protein-coding,1.87134376510156,1.87134376510156
115362,GBP5,guanylate binding protein 5,protein-coding,1.8592957433411321,1.8592957433411321
3804,KIR2DL3,"killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3",protein-coding,-1.8549048274239224,1.8549048274239224
138307,LCN8,lipocalin 8,protein-coding,-1.847103849866748,1.847103849866748
64108,RTP4,receptor transporter protein 4,protein-coding,1.8425090093272962,1.8425090093272962
2848,GPR25,G protein-coupled receptor 25,protein-coding,-1.8241886793585484,1.8241886793585484
113730,KLHDC7B,kelch domain containing 7B,protein-coding,1.822068023017524,1.822068023017524
7163,TPD52,tumor protein D52,protein-coding,-1.797634286580412,1.797634286580412
260429,PRSS33,serine protease 33,protein-coding,-1.7880528183833084,1.7880528183833084
64761,PARP12,poly(ADP-ribose) polymerase family member 12,protein-coding,1.786769915150511,1.786769915150511
285180,RUFY4,RUN and FYVE domain containing 4,protein-coding,1.765242718957822,1.765242718957822
8605,PLA2G4C,phospholipase A2 group IVC,protein-coding,1.7387910119211232,1.7387910119211232
467,ATF3,activating transcription factor 3,protein-coding,1.7329359409379277,1.7329359409379277
55502,HES6,hes family bHLH transcription factor 6,protein-coding,-1.7289402931245266,1.7289402931245266
2810,SFN,stratifin,protein-coding,1.7228984166821175,1.7228984166821175
4753,NELL2,neural EGFL like 2,protein-coding,-1.701303413452186,1.701303413452186
4068,SH2D1A,SH2 domain containing 1A,protein-coding,-1.6880708592402855,1.6880708592402855
130502,TTC32,tetratricopeptide repeat domain 32,protein-coding,-1.6846485737200478,1.6846485737200478
440836,ODF3B,outer dense fiber of sperm tails 3B,protein-coding,1.6804102792387055,1.6804102792387055
