GeneID,Symbol,Description,GeneType,score,abs_score
1116,CHI3L1,chitinase 3 like 1,protein-coding,-3.4722575504071167,3.4722575504071167
4489,MT1A,metallothionein 1A,protein-coding,3.4413202737956423,3.4413202737956423
4057,LTF,lactotransferrin,protein-coding,-3.3532085221441568,3.3532085221441568
8284,KDM5D,lysine demethylase 5D,protein-coding,-3.2244066156172244,3.2244066156172244
9086,EIF1AY,eukaryotic translation initiation factor 1A Y-linked,protein-coding,-3.1519675945186374,3.1519675945186374
1667,DEFA1,defensin alpha 1,protein-coding,-3.13492103846525,3.13492103846525
820,CAMP,cathelicidin antimicrobial peptide,protein-coding,-3.1249206563001413,3.1249206563001413
728358,DEFA1B,defensin alpha 1B,protein-coding,-3.118223659812218,3.118223659812218
1668,DEFA3,defensin alpha 3,protein-coding,-2.9600802010722074,2.9600802010722074
92304,SCGB3A1,secretoglobin family 3A member 1,protein-coding,-2.655756148836156,2.655756148836156
10917,BTNL3,butyrophilin like 3,protein-coding,-2.5278833407081875,2.5278833407081875
255061,TAC4,tachykinin precursor 4,protein-coding,-2.523551157097207,2.523551157097207
5657,PRTN3,proteinase 3,protein-coding,-2.5050828449657914,2.5050828449657914
4608,MYBPH,myosin binding protein H,protein-coding,-2.501008279159899,2.501008279159899
3008,H1-4,"H1.4 linker histone, cluster member",protein-coding,-2.452911488806115,2.452911488806115
722,C4BPA,complement component 4 binding protein alpha,protein-coding,2.4013410354762894,2.4013410354762894
3135,HLA-G,"major histocompatibility complex, class I, G",protein-coding,2.3611170913553567,2.3611170913553567
3934,LCN2,lipocalin 2,protein-coding,-2.3288513900516827,2.3288513900516827
57801,HES4,hes family bHLH transcription factor 4,protein-coding,2.325816516007647,2.325816516007647
257101,ZNF683,zinc finger protein 683,protein-coding,2.2607543811358295,2.2607543811358295
1511,CTSG,cathepsin G,protein-coding,-2.2521718452112833,2.2521718452112833
3118,HLA-DQA2,"major histocompatibility complex, class II, DQ alpha 2",protein-coding,-2.177633714725551,2.177633714725551
27151,CPAMD8,C3 and PZP like alpha-2-macroglobulin domain containing 8,protein-coding,2.164571182233039,2.164571182233039
388588,SMIM1,small integral membrane protein 1 (Vel blood group),protein-coding,2.143754376760341,2.143754376760341
147199,SCGB1C1,secretoglobin family 1C member 1,protein-coding,2.1306927170304246,2.1306927170304246
2352,FOLR3,folate receptor gamma,protein-coding,-2.0683676694135738,2.0683676694135738
112268307,LOC112268307,uncharacterized LOC112268307,protein-coding,2.0164896305443056,2.0164896305443056
8368,H4C13,H4 clustered histone 13,protein-coding,2.0050648966738405,2.0050648966738405
140807,KRT72,keratin 72,protein-coding,-1.9997801976074157,1.9997801976074157
9415,FADS2,fatty acid desaturase 2,protein-coding,-1.9904659507554323,1.9904659507554323
4318,MMP9,matrix metallopeptidase 9,protein-coding,-1.980858572062711,1.980858572062711
197257,LDHD,lactate dehydrogenase D,protein-coding,-1.8931678885274374,1.8931678885274374
383,ARG1,arginase 1,protein-coding,-1.8837815233253654,1.8837815233253654
10232,MSLN,mesothelin,protein-coding,-1.8476277436671793,1.8476277436671793
671,BPI,bactericidal permeability increasing protein,protein-coding,-1.815773341271713,1.815773341271713
1669,DEFA4,defensin alpha 4,protein-coding,-1.7922889872194923,1.7922889872194923
