GeneID,Symbol,Description,GeneType,score,abs_score
100128071,FAM229A,family with sequence similarity 229 member A,protein-coding,-3.543759230168268,3.543759230168268
81796,SLCO5A1,solute carrier organic anion transporter family member 5A1,protein-coding,-3.1916274479026034,3.1916274479026034
257101,ZNF683,zinc finger protein 683,protein-coding,-3.174895562036824,3.174895562036824
5816,PVALB,parvalbumin,protein-coding,-2.854934896797878,2.854934896797878
57216,VANGL2,VANGL planar cell polarity protein 2,protein-coding,2.740938816115862,2.740938816115862
92304,SCGB3A1,secretoglobin family 3A member 1,protein-coding,-2.655756148836156,2.655756148836156
55365,TMEM176A,transmembrane protein 176A,protein-coding,-2.653936808853488,2.653936808853488
6368,CCL23,C-C motif chemokine ligand 23,protein-coding,2.5843126538263,2.5843126538263
10911,UTS2,urotensin 2,protein-coding,2.5497099850066585,2.5497099850066585
212,ALAS2,5'-aminolevulinate synthase 2,protein-coding,-2.535129452281739,2.535129452281739
10232,MSLN,mesothelin,protein-coding,-2.493069239865799,2.493069239865799
8653,DDX3Y,DEAD-box helicase 3 Y-linked,protein-coding,2.461346724186391,2.461346724186391
3008,H1-4,"H1.4 linker histone, cluster member",protein-coding,-2.452911488806115,2.452911488806115
1675,CFD,complement factor D,protein-coding,-2.4069648197196196,2.4069648197196196
29944,PNMA3,PNMA family member 3,protein-coding,-2.39734226167165,2.39734226167165
28959,TMEM176B,transmembrane protein 176B,protein-coding,-2.371418059972714,2.371418059972714
246,ALOX15,arachidonate 15-lipoxygenase,protein-coding,2.334057510624508,2.334057510624508
10917,BTNL3,butyrophilin like 3,protein-coding,-2.261480066158079,2.261480066158079
6590,SLPI,secretory leukocyte peptidase inhibitor,protein-coding,2.2569768749653285,2.2569768749653285
23639,DNAAF11,dynein axonemal assembly factor 11,protein-coding,2.239163629321051,2.239163629321051
401115,C4orf48,chromosome 4 open reading frame 48,protein-coding,-2.1691338746679,2.1691338746679
3429,IFI27,interferon alpha inducible protein 27,protein-coding,-2.1650082820882197,2.1650082820882197
389860,PAGE2B,PAGE family member 2B,protein-coding,-2.151810861238496,2.151810861238496
8365,H4C8,H4 clustered histone 8,protein-coding,-2.09501579230561,2.09501579230561
221711,SYCP2L,synaptonemal complex protein 2 like,protein-coding,2.0943942181447746,2.0943942181447746
10562,OLFM4,olfactomedin 4,protein-coding,2.0810109770558913,2.0810109770558913
11007,CCDC85B,coiled-coil domain containing 85B,protein-coding,-2.0351389735025602,2.0351389735025602
1359,CPA3,carboxypeptidase A3,protein-coding,1.9568837924933817,1.9568837924933817
3135,HLA-G,"major histocompatibility complex, class I, G",protein-coding,-1.9527689633103573,1.9527689633103573
8345,H2BC9,H2B clustered histone 9,protein-coding,-1.9369463656008976,1.9369463656008976
5166,PDK4,pyruvate dehydrogenase kinase 4,protein-coding,1.9268856343693297,1.9268856343693297
8991,SELENBP1,selenium binding protein 1,protein-coding,-1.923442813151414,1.923442813151414
645191,LINGO3,leucine rich repeat and Ig domain containing 3,protein-coding,-1.918005095863917,1.918005095863917
113179,ADAT3,adenosine deaminase tRNA specific 3,protein-coding,-1.8843288905316906,1.8843288905316906
10038,PARP2,poly(ADP-ribose) polymerase 2,protein-coding,-1.8785432701220253,1.8785432701220253
4493,MT1E,metallothionein 1E,protein-coding,-1.8667470420150074,1.8667470420150074
3568,IL5RA,interleukin 5 receptor subunit alpha,protein-coding,1.8639978969620308,1.8639978969620308
27181,SIGLEC8,sialic acid binding Ig like lectin 8,protein-coding,1.860967416400382,1.860967416400382
2205,FCER1A,Fc epsilon receptor Ia,protein-coding,1.850483819132003,1.850483819132003
5819,NECTIN2,nectin cell adhesion molecule 2,protein-coding,-1.8257577286897997,1.8257577286897997
