GeneID,Symbol,Description,GeneType,score,abs_score
8115,TCL1A,TCL1 family AKT coactivator A,protein-coding,-5.1993114366946696,5.1993114366946696
29802,VPREB3,V-set pre-B cell surrogate light chain 3,protein-coding,-3.2971459981098072,3.2971459981098072
3118,HLA-DQA2,"major histocompatibility complex, class II, DQ alpha 2",protein-coding,-3.253388440360796,3.253388440360796
2208,FCER2,Fc epsilon receptor II,protein-coding,-3.1650205684058035,3.1650205684058035
1164,CKS2,CDC28 protein kinase regulatory subunit 2,protein-coding,-2.879787766624217,2.879787766624217
400668,PRSS57,serine protease 57,protein-coding,2.869303694087761,2.869303694087761
930,CD19,CD19 molecule,protein-coding,-2.8537732122017303,2.8537732122017303
4059,BCAM,basal cell adhesion molecule (Lutheran blood group),protein-coding,2.7320031821084343,2.7320031821084343
6423,SFRP2,secreted frizzled related protein 2,protein-coding,2.7310339813857683,2.7310339813857683
79368,FCRL2,Fc receptor like 2,protein-coding,-2.5993707803134907,2.5993707803134907
388588,SMIM1,small integral membrane protein 1 (Vel blood group),protein-coding,2.5399691949812704,2.5399691949812704
84824,FCRLA,Fc receptor like A,protein-coding,-2.4850759837197263,2.4850759837197263
933,CD22,CD22 molecule,protein-coding,-2.4820901191064735,2.4820901191064735
140,ADORA3,adenosine A3 receptor,protein-coding,-2.438369015306821,2.438369015306821
1663,DDX11,DEAD/H-box helicase 11,protein-coding,-2.4160975679810197,2.4160975679810197
199786,NIBAN3,niban apoptosis regulator 3,protein-coding,-2.3822066697643693,2.3822066697643693
1991,ELANE,"elastase, neutrophil expressed",protein-coding,2.324333538207734,2.324333538207734
4824,NKX3-1,NK3 homeobox 1,protein-coding,-2.2988257369280283,2.2988257369280283
8360,H4C4,H4 clustered histone 4,protein-coding,-2.257946446768651,2.257946446768651
566,AZU1,azurocidin 1,protein-coding,2.2464228316632195,2.2464228316632195
1675,CFD,complement factor D,protein-coding,2.2448336565415046,2.2448336565415046
3681,ITGAD,integrin subunit alpha D,protein-coding,2.203285576582301,2.203285576582301
280,AMY2B,amylase alpha 2B,protein-coding,-2.1962442540496876,2.1962442540496876
120071,LARGE2,LARGE xylosyl- and glucuronyltransferase 2,protein-coding,-2.153204366363377,2.153204366363377
414332,LCN10,lipocalin 10,protein-coding,-2.153037920401592,2.153037920401592
971,CD72,CD72 molecule,protein-coding,-2.11231604609116,2.11231604609116
10266,RAMP2,receptor activity modifying protein 2,protein-coding,2.092667307230337,2.092667307230337
79007,DBNDD1,dysbindin domain containing 1,protein-coding,-2.0877457168032856,2.0877457168032856
338785,KRT79,keratin 79,protein-coding,2.0867085451879004,2.0867085451879004
1669,DEFA4,defensin alpha 4,protein-coding,2.079238040064218,2.079238040064218
339804,C2orf74,chromosome 2 open reading frame 74,protein-coding,-2.074308095029393,2.074308095029393
339231,ARL16,ADP ribosylation factor like GTPase 16,protein-coding,-2.0611798331736524,2.0611798331736524
5819,NECTIN2,nectin cell adhesion molecule 2,protein-coding,2.04559070191498,2.04559070191498
147700,KLC3,kinesin light chain 3,protein-coding,2.0085557097534616,2.0085557097534616
9924,PAN2,poly(A) specific ribonuclease subunit PAN2,protein-coding,-2.0017500452682864,2.0017500452682864
931,MS4A1,membrane spanning 4-domains A1,protein-coding,-2.000651484318501,2.000651484318501
671,BPI,bactericidal permeability increasing protein,protein-coding,1.966519171171151,1.966519171171151
27181,SIGLEC8,sialic acid binding Ig like lectin 8,protein-coding,-1.9625764308466738,1.9625764308466738
160364,CLEC12A,C-type lectin domain family 12 member A,protein-coding,-1.9573791221488466,1.9573791221488466
5368,PNOC,prepronociceptin,protein-coding,-1.95658750038826,1.95658750038826
1511,CTSG,cathepsin G,protein-coding,1.9499431708896007,1.9499431708896007
722,C4BPA,complement component 4 binding protein alpha,protein-coding,1.9393486371431872,1.9393486371431872
347733,TUBB2B,tubulin beta 2B class IIb,protein-coding,-1.9389143760731393,1.9389143760731393
8348,H2BC17,H2B clustered histone 17,protein-coding,-1.9327865655191068,1.9327865655191068
55024,BANK1,B cell scaffold protein with ankyrin repeats 1,protein-coding,-1.9307677377238064,1.9307677377238064
246,ALOX15,arachidonate 15-lipoxygenase,protein-coding,-1.9139506792863623,1.9139506792863623
973,CD79A,CD79a molecule,protein-coding,-1.8960554103879161,1.8960554103879161
9172,MYOM2,myomesin 2,protein-coding,-1.8952906873491508,1.8952906873491508
54622,ARL15,ADP ribosylation factor like GTPase 15,protein-coding,-1.8936156479674755,1.8936156479674755
969,CD69,CD69 molecule,protein-coding,-1.8932722114222218,1.8932722114222218
79144,PPDPF,pancreatic progenitor cell differentiation and proliferation factor,protein-coding,1.8794898139704737,1.8794898139704737
6884,TAF13,TATA-box binding protein associated factor 13,protein-coding,-1.8758278740411038,1.8758278740411038
51759,C9orf78,chromosome 9 open reading frame 78,protein-coding,-1.8594645567823622,1.8594645567823622
25961,NUDT13,nudix hydrolase 13,protein-coding,-1.8543603260701933,1.8543603260701933
138307,LCN8,lipocalin 8,protein-coding,-1.847103849866748,1.847103849866748
638,BIK,BCL2 interacting killer,protein-coding,-1.830390814734733,1.830390814734733
5079,PAX5,paired box 5,protein-coding,-1.827029419122327,1.827029419122327
10651,MTX2,metaxin 2,protein-coding,-1.8267365858640183,1.8267365858640183
79630,C1orf54,chromosome 1 open reading frame 54,protein-coding,-1.8182693192456871,1.8182693192456871
5026,P2RX5,purinergic receptor P2X 5,protein-coding,-1.8098118334897657,1.8098118334897657
