GeneID,Symbol,Description,GeneType,score,abs_score
3050,HBZ,hemoglobin subunit zeta,protein-coding,-8.51176757830689,8.51176757830689
3047,HBG1,hemoglobin subunit gamma 1,protein-coding,-3.580855142966713,3.580855142966713
3434,IFIT1,interferon induced protein with tetratricopeptide repeats 1,protein-coding,3.181568821156936,3.181568821156936
3046,HBE1,hemoglobin subunit epsilon 1,protein-coding,3.1222112387290877,3.1222112387290877
100423062,IGLL5,immunoglobulin lambda like polypeptide 5,protein-coding,-2.891553603602058,2.891553603602058
3048,HBG2,hemoglobin subunit gamma 2,protein-coding,-2.8306808574041282,2.8306808574041282
3433,IFIT2,interferon induced protein with tetratricopeptide repeats 2,protein-coding,2.620207303253914,2.620207303253914
91543,RSAD2,radical S-adenosyl methionine domain containing 2,protein-coding,2.6026698248333022,2.6026698248333022
973,CD79A,CD79a molecule,protein-coding,-2.270045396927864,2.270045396927864
57535,ELAPOR1,endosome-lysosome associated apoptosis and autophagy regulator 1,protein-coding,-2.1550926706331084,2.1550926706331084
3437,IFIT3,interferon induced protein with tetratricopeptide repeats 3,protein-coding,2.134623578018414,2.134623578018414
4541,ND6,NADH dehydrogenase subunit 6,protein-coding,-2.1043456093364723,2.1043456093364723
257101,ZNF683,zinc finger protein 683,protein-coding,-2.1041283088945075,2.1041283088945075
10561,IFI44,interferon induced protein 44,protein-coding,2.0812518938812947,2.0812518938812947
51191,HERC5,HECT and RLD domain containing E3 ubiquitin protein ligase 5,protein-coding,2.067542124805179,2.067542124805179
4940,OAS3,2'-5'-oligoadenylate synthetase 3,protein-coding,2.048746051748082,2.048746051748082
10964,IFI44L,interferon induced protein 44 like,protein-coding,2.024418539004303,2.024418539004303
10578,GNLY,granulysin,protein-coding,-1.9528430152030762,1.9528430152030762
2537,IFI6,interferon alpha inducible protein 6,protein-coding,1.9509169781392397,1.9509169781392397
2352,FOLR3,folate receptor gamma,protein-coding,-1.9456007445610137,1.9456007445610137
6614,SIGLEC1,sialic acid binding Ig like lectin 1,protein-coding,1.8294108860337395,1.8294108860337395
2208,FCER2,Fc epsilon receptor II,protein-coding,-1.809965686027991,1.809965686027991
129607,CMPK2,cytidine/uridine monophosphate kinase 2,protein-coding,1.7474710260968345,1.7474710260968345
51510,CHMP5,charged multivesicular body protein 5,protein-coding,1.7442171947499154,1.7442171947499154
4599,MX1,MX dynamin like GTPase 1,protein-coding,1.742985859695544,1.742985859695544
9086,EIF1AY,eukaryotic translation initiation factor 1A Y-linked,protein-coding,1.7304527683482627,1.7304527683482627
4519,CYTB,cytochrome b,protein-coding,-1.6933282916105037,1.6933282916105037
24138,IFIT5,interferon induced protein with tetratricopeptide repeats 5,protein-coding,1.6843127681384327,1.6843127681384327
57801,HES4,hes family bHLH transcription factor 4,protein-coding,1.6687825809816854,1.6687825809816854
9636,ISG15,ISG15 ubiquitin like modifier,protein-coding,1.6512974922704744,1.6512974922704744
4538,ND4,NADH dehydrogenase subunit 4,protein-coding,-1.6408667772378713,1.6408667772378713
4512,COX1,cytochrome c oxidase subunit I,protein-coding,-1.63862814220221,1.63862814220221
4508,ATP6,ATP synthase F0 subunit 6,protein-coding,-1.6282572354627631,1.6282572354627631
6229,RPS24,ribosomal protein S24,protein-coding,1.6201316559041585,1.6201316559041585
5026,P2RX5,purinergic receptor P2X 5,protein-coding,-1.6187112416080263,1.6187112416080263
91351,DDX60L,DExD/H-box 60 like,protein-coding,1.5698614773739836,1.5698614773739836
933,CD22,CD22 molecule,protein-coding,-1.56881212770425,1.56881212770425
4513,COX2,cytochrome c oxidase subunit II,protein-coding,-1.5595534359393102,1.5595534359393102
