GeneID,Symbol,Description,GeneType,score,abs_score
3117,HLA-DQA1,"major histocompatibility complex, class II, DQ alpha 1",protein-coding,-2.8374519817285995,2.8374519817285995
3119,HLA-DQB1,"major histocompatibility complex, class II, DQ beta 1",protein-coding,-2.6559743479914535,2.6559743479914535
140807,KRT72,keratin 72,protein-coding,-2.620392941384643,2.620392941384643
3904,LAIR2,leukocyte associated immunoglobulin like receptor 2,protein-coding,-2.6040945020298674,2.6040945020298674
1233,CCR4,C-C motif chemokine receptor 4,protein-coding,-2.545469799480824,2.545469799480824
6846,XCL2,X-C motif chemokine ligand 2,protein-coding,-2.5398994078242816,2.5398994078242816
10232,MSLN,mesothelin,protein-coding,-2.493069239865799,2.493069239865799
5819,NECTIN2,nectin cell adhesion molecule 2,protein-coding,-2.4765223574109156,2.4765223574109156
317772,H2AC21,H2A clustered histone 21,protein-coding,2.4375050802234095,2.4375050802234095
5657,PRTN3,proteinase 3,protein-coding,2.3122144816861234,2.3122144816861234
55655,NLRP2,NLR family pyrin domain containing 2,protein-coding,-2.2731534258493618,2.2731534258493618
29802,VPREB3,V-set pre-B cell surrogate light chain 3,protein-coding,-2.269162310715212,2.269162310715212
712,C1QA,complement C1q A chain,protein-coding,-2.238922327635224,2.238922327635224
440270,GOLGA8B,golgin A8 family member B,protein-coding,-2.2387314006733754,2.2387314006733754
144097,SPINDOC,spindlin interactor and repressor of chromatin binding,protein-coding,-2.170257677031124,2.170257677031124
3118,HLA-DQA2,"major histocompatibility complex, class II, DQ alpha 2",protein-coding,-2.158774504824362,2.158774504824362
9086,EIF1AY,eukaryotic translation initiation factor 1A Y-linked,protein-coding,2.1256170528478227,2.1256170528478227
10911,UTS2,urotensin 2,protein-coding,2.0924398240804343,2.0924398240804343
3127,HLA-DRB5,"major histocompatibility complex, class II, DR beta 5",protein-coding,-2.0732031497400496,2.0732031497400496
713,C1QB,complement C1q B chain,protein-coding,-2.033464486615817,2.033464486615817
201232,SLC16A13,solute carrier family 16 member 13,protein-coding,-2.003929643997197,2.003929643997197
55502,HES6,hes family bHLH transcription factor 6,protein-coding,-1.9963413222152382,1.9963413222152382
100423062,IGLL5,immunoglobulin lambda like polypeptide 5,protein-coding,-1.9874131045413028,1.9874131045413028
339390,CLEC4G,C-type lectin domain family 4 member G,protein-coding,1.9831371574154064,1.9831371574154064
9623,TCL1B,TCL1 family AKT coactivator B,protein-coding,-1.9777332873617002,1.9777332873617002
50509,COL5A3,collagen type V alpha 3 chain,protein-coding,-1.9755674814683444,1.9755674814683444
26,AOC1,amine oxidase copper containing 1,protein-coding,-1.9667751411112446,1.9667751411112446
9415,FADS2,fatty acid desaturase 2,protein-coding,-1.9401490157979955,1.9401490157979955
